dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.812394,175.743768,0.000558,0.055761,2.788064,139.403195,0.000415
0.020000,4.812446,175.743768,0.000610,0.002600,-2.658058,-272.306108,0.000411
0.020000,4.812563,175.743768,0.000727,0.005850,0.162497,141.027743,0.000400
0.020000,4.812771,175.743768,0.000935,0.010399,0.227466,3.248471,0.000381
0.020000,4.813096,175.743768,0.001260,0.016247,0.292391,3.246230,0.000351
0.020000,4.813564,175.743768,0.001727,0.023392,0.357242,3.242560,0.000309
0.020000,4.814201,175.743768,0.002364,0.031832,0.421984,3.237104,0.000251
0.020000,4.815032,175.743769,0.003195,0.041563,0.486574,3.229504,0.000175
0.020000,4.816083,175.743769,0.004247,0.052582,0.550962,3.219402,0.000080
0.020000,4.835407,175.743768,0.023570,0.966174,45.679558,2256.429789,6.283147
0.020000,4.904448,175.743761,0.092611,3.452044,124.293500,3930.697129,6.283005
0.020000,4.986610,175.743739,0.174773,4.108105,32.803092,-4574.520441,6.282835
0.020000,5.083035,175.743696,0.271199,4.821257,35.657563,142.723593,6.282636
0.020000,5.194862,175.743621,0.383026,5.591360,38.505182,142.380923,6.282405
0.020000,5.323233,175.743504,0.511396,6.418525,41.358249,142.653345,6.282141
0.020000,5.469285,175.743330,0.657448,7.302606,44.204021,142.288618,6.281841
0.020000,5.634158,175.743080,0.822322,8.243673,47.053344,142.466122,6.281502
0.020000,5.818992,175.742734,1.007156,9.241706,49.901649,142.415272,6.281123
0.020000,6.024924,175.742266,1.213089,10.296653,52.747376,142.286359,6.280702
0.020000,6.253094,175.741646,1.441259,11.408515,55.593077,142.285025,6.280236
0.020000,6.504637,175.740840,1.692804,12.577231,58.435802,142.136281,6.279724
0.020000,6.780690,175.739807,1.968859,13.802765,61.276719,142.045849,6.279163
0.020000,7.082390,175.738501,2.270562,15.085142,64.118838,142.105953,6.278551
0.020000,7.410872,175.736870,2.599047,16.424268,66.956302,141.873172,6.277888
0.020000,7.767269,175.734854,2.955451,17.820172,69.795211,141.945451,6.277170
0.020000,8.152716,175.732386,3.340905,19.272723,72.627529,141.615920,6.276396
0.020000,8.568344,175.729391,3.756544,20.781926,75.460183,141.632697,6.275566
0.020000,9.015284,175.725787,4.203498,22.347715,78.289442,141.462929,6.274676
0.020000,9.494096,175.721485,4.682330,23.941580,79.693234,70.189607,6.273727
0.020000,10.004768,175.716397,5.193028,25.534899,79.665964,-1.363518,6.272720
0.020000,10.547290,175.710431,5.735582,27.127708,79.640443,-1.276018,6.271656
0.020000,11.121646,175.703486,6.309980,28.719914,79.610316,-1.506361,6.270535
0.020000,11.727823,175.695461,6.916211,30.311526,79.580597,-1.485937,6.269360
0.020000,12.365807,175.686248,7.554260,31.902491,79.548238,-1.617942,6.268131
0.020000,13.035579,175.675734,8.224116,33.492758,79.513345,-1.744657,6.266848
0.020000,13.737125,175.663803,8.925763,35.082358,79.479985,-1.667993,6.265515
0.020000,14.470424,175.650336,9.659186,36.671141,79.439167,-2.040900,6.264132
0.020000,15.235459,175.635209,10.424369,38.259195,79.402687,-1.824032,6.262700
0.020000,16.032207,175.618294,11.221297,39.846397,79.360103,-2.129200,6.261220
0.020000,16.860648,175.599462,12.049952,41.432733,79.316802,-2.165046,6.259696
0.020000,17.720758,175.578579,12.910316,43.018209,79.273791,-2.150555,6.258127
0.020000,18.612514,175.555509,13.802371,44.602714,79.225256,-2.426743,6.256517
0.020000,19.535890,175.530113,14.726096,46.186267,79.177670,-2.379269,6.254866
0.020000,20.490860,175.502253,15.681472,47.768804,79.126832,-2.541904,6.253176
0.020000,21.477396,175.471784,16.668478,49.350315,79.075583,-2.562475,6.251449
0.020000,22.495469,175.438565,17.687093,50.930753,79.021863,-2.686007,6.249688
0.020000,23.545050,175.402449,18.737295,52.510069,78.965820,-2.802158,6.247894
0.020000,24.626105,175.363292,19.819059,54.088221,78.907594,-2.911277,6.246070
0.020000,25.738604,175.320948,20.932363,55.665203,78.849122,-2.923608,6.244217
0.020000,26.882511,175.275269,22.077182,57.240944,78.787038,-3.104200,6.242337
0.020000,28.057792,175.226112,23.253491,58.815440,78.724803,-3.111757,6.240434
0.020000,29.264411,175.173330,24.461264,60.388635,78.659723,-3.253991,6.238509
0.020000,30.502330,175.116779,25.700474,61.960500,78.593252,-3.323559,6.236565
0.020000,31.771510,175.056317,26.971093,63.530984,78.524233,-3.450912,6.234605
0.020000,33.071912,174.991802,28.273094,65.100060,78.453768,-3.523269,6.232630
0.020000,34.403495,174.923096,29.606449,66.667705,78.382265,-3.575135,6.230644
0.020000,35.766216,174.850063,30.971126,68.233865,78.307999,-3.713301,6.228649
0.020000,37.160034,174.772570,32.367096,69.798509,78.232196,-3.790161,6.226648
0.020000,38.584904,174.690487,33.794328,71.361603,78.154708,-3.874405,6.224643
0.020000,40.040781,174.603690,35.252790,72.923113,78.075503,-3.960265,6.222638
0.020000,41.527620,174.512056,36.742450,74.483003,77.994499,-4.050190,6.220636
0.020000,43.045375,174.415471,38.263275,76.041233,77.911487,-4.150580,6.218640
0.020000,44.593998,174.313823,39.815231,77.597773,77.827015,-4.223599,6.216652
0.020000,46.173442,174.207007,41.398282,79.152588,77.740756,-4.312961,6.214676
0.020000,47.783658,174.094926,43.012395,80.705642,77.652686,-4.403515,6.212715
0.020000,49.424599,173.977486,44.657533,82.256900,77.562914,-4.488598,6.210772
0.020000,51.096215,173.854605,46.333660,83.806331,77.471529,-4.569255,6.208851
0.020000,52.797895,173.726248,48.040173,85.325677,75.967299,-75.211478,6.206956
0.020000,54.528464,173.592438,49.775908,86.786746,73.053477,-145.691097,6.205090
0.020000,56.286753,173.453215,51.539700,88.189596,70.142498,-145.548952,6.203260
0.020000,58.071593,173.308637,53.330386,89.534292,67.234770,-145.386414,6.201468
0.020000,59.881818,173.158776,55.146804,90.820903,64.330535,-145.211749,6.199720
0.020000,61.716267,173.003724,56.987794,92.049503,61.430002,-145.026645,6.198019
0.020000,63.573781,172.843587,58.852197,93.220170,58.533351,-144.832573,6.196369
0.020000,65.453202,172.678489,60.738857,94.332970,55.640020,-144.666540,6.194774
0.020000,67.353380,172.508570,62.646617,95.388006,52.751821,-144.409946,6.193238
0.020000,69.273165,172.333984,64.574324,96.385345,49.866915,-144.245295,6.191764
0.020000,71.211412,172.154904,66.520826,97.325083,46.986913,-144.000091,6.190356
0.020000,73.166978,171.971513,68.484972,98.207311,44.111416,-143.774862,6.189017
0.020000,75.138725,171.784011,70.465614,99.032120,41.240426,-143.549523,6.187750
0.020000,77.125519,171.592613,72.461606,99.799604,38.374210,-143.310784,6.186557
0.020000,79.126229,171.397542,74.471803,100.509861,35.512857,-143.067627,6.185441
0.020000,81.139727,171.199038,76.495063,101.162985,32.656195,-142.833096,6.184406
0.020000,83.164891,170.997349,78.530245,101.759083,29.804891,-142.565228,6.183452
0.020000,85.200599,170.792736,80.576210,102.298257,26.958697,-142.309684,6.182583
0.020000,87.245734,170.585468,82.631822,102.780601,24.117192,-142.075262,6.181799
0.020000,89.299185,170.375824,84.695947,103.206229,21.281420,-141.788613,6.181104
0.020000,91.359840,170.164089,86.767451,103.575241,18.450582,-141.541874,6.180498
0.020000,93.426594,169.950556,88.845206,103.887746,15.625251,-141.266540,6.179983
0.020000,95.498341,169.735525,90.928083,104.143847,12.805074,-141.008891,6.179560
0.020000,97.573983,169.519300,93.014956,104.343658,9.990563,-140.725551,6.179230
0.020000,99.652419,169.302189,95.104702,104.487281,7.181135,-140.471370,6.178993
0.020000,101.732556,169.084501,97.196199,104.574830,4.377441,-140.184690,6.178851
0.020000,103.813250,168.866556,99.288276,104.603856,1.451316,-146.306285,6.178804
0.020000,105.892805,168.648730,101.379208,104.546609,-2.862388,-215.685165,6.178851
0.020000,107.969580,168.431393,103.467324,104.405809,-7.039986,-208.879902,6.178993
0.020000,110.042490,168.214858,105.551513,104.209461,-9.817409,-138.871185,6.179229
0.020000,112.110453,167.999430,107.630667,103.957676,-12.589254,-138.592251,6.179559
0.020000,114.172387,167.785415,109.703678,103.650557,-15.355927,-138.333640,6.179981
0.020000,116.227213,167.573111,111.769442,103.288220,-18.116831,-138.045166,6.180496
0.020000,118.273852,167.362812,113.826858,102.870766,-20.872717,-137.794328,6.181101
0.020000,120.311228,167.154802,115.874824,102.398308,-23.622921,-137.510202,6.181796
0.020000,122.338262,166.949361,117.912243,101.870944,-26.368177,-137.262771,6.182578
0.020000,124.353881,166.746758,119.938019,101.288791,-29.107636,-136.972956,6.183447
0.020000,126.357009,166.547252,121.951057,100.651940,-31.842566,-136.746517,6.184399
0.020000,128.346573,166.351094,123.950267,99.960501,-34.571939,-136.468672,6.185434
0.020000,130.321498,166.158522,125.934559,99.214582,-37.295974,-136.201735,6.186548
0.020000,132.280711,165.969761,127.902844,98.414269,-40.015622,-135.982376,6.187739
0.020000,134.223140,165.785026,129.854038,97.559669,-42.730028,-135.720336,6.189005
0.020000,136.147711,165.604516,131.787055,96.650876,-45.439632,-135.480192,6.190342
0.020000,138.053351,165.428419,133.700815,95.687985,-48.144543,-135.245526,6.191748
0.020000,139.938989,165.256906,135.594237,94.671095,-50.844526,-134.999172,6.193220
0.020000,141.803551,165.090134,137.466243,93.600284,-53.540537,-134.800519,6.194753
0.020000,143.645965,164.928245,139.315755,92.475644,-56.232025,-134.574400,6.196345
0.020000,145.465159,164.771364,141.141701,91.297268,-58.918771,-134.337337,6.197991
0.020000,147.260059,164.619602,142.943005,90.065226,-61.602109,-134.166904,6.199689
0.020000,149.029593,164.473053,144.718597,88.779603,-64.281167,-133.952865,6.201434
