dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.821529,153.743770,0.000558,0.055761,2.788064,139.403195,0.000415
0.020000,4.821477,153.743770,0.000610,0.002600,-2.658058,-272.306108,0.000411
0.020000,4.821360,153.743770,0.000727,0.005850,0.162497,141.027743,0.000400
0.020000,4.821152,153.743770,0.000935,0.010399,0.227466,3.248471,0.000381
0.020000,4.820827,153.743769,0.001260,0.016247,0.292391,3.246230,0.000351
0.020000,4.820360,153.743769,0.001727,0.023392,0.357242,3.242560,0.000309
0.020000,4.819723,153.743769,0.002364,0.031832,0.421984,3.237104,0.000251
0.020000,4.818892,153.743769,0.003195,0.041563,0.486574,3.229504,0.000175
0.020000,4.817840,153.743769,0.004247,0.052582,0.550962,3.219402,0.000080
0.020000,4.834568,153.743768,0.020975,0.836405,39.191105,1932.007138,6.283147
0.020000,4.900470,153.743761,0.086877,3.295117,122.935626,4187.226039,6.283005
0.020000,4.978900,153.743740,0.165307,3.921486,31.318459,-4580.858349,6.282835
0.020000,5.070949,153.743699,0.257356,4.602423,34.046846,136.419347,6.282636
0.020000,5.177705,153.743628,0.364112,5.337818,36.769770,136.146211,6.282405
0.020000,5.300261,153.743516,0.486668,6.127802,39.499155,136.469261,6.282141
0.020000,5.439706,153.743350,0.626113,6.972262,42.223030,136.193772,6.281841
0.020000,5.597132,153.743111,0.783539,7.871301,44.951958,136.446380,6.281502
0.020000,5.773630,153.742781,0.960038,8.824937,47.681801,136.492163,6.281123
0.020000,5.970293,153.742334,1.156701,9.833164,50.411307,136.475295,6.280702
0.020000,6.188213,153.741742,1.374622,10.896027,53.143165,136.592887,6.280236
0.020000,6.428482,153.740972,1.614892,12.013523,55.874826,136.583081,6.279724
0.020000,6.692194,153.739985,1.878606,13.185677,58.607688,136.643081,6.279163
0.020000,6.980443,153.738737,2.166857,14.412576,61.344924,136.861807,6.278551
0.020000,7.294323,153.737179,2.480741,15.694201,64.081253,136.816421,6.277888
0.020000,7.634930,153.735252,2.821354,17.030657,66.822832,137.078970,6.277170
0.020000,8.003361,153.732893,3.189793,18.421904,69.562328,136.974810,6.276396
0.020000,8.400711,153.730030,3.587153,19.868038,72.306721,137.219646,6.275566
0.020000,8.828079,153.726583,4.014535,21.369095,75.052823,137.305083,6.274676
0.020000,9.286019,153.722469,4.472493,22.897911,76.440801,69.398895,6.273727
0.020000,9.774539,153.717602,4.961037,24.427194,76.464149,1.167388,6.272720
0.020000,10.293648,153.711893,5.480178,25.957045,76.492562,1.420688,6.271656
0.020000,10.843357,153.705246,6.029927,27.487445,76.519977,1.370740,6.270535
0.020000,11.423676,153.697564,6.610296,29.018469,76.551207,1.561515,6.269360
0.020000,12.034615,153.688741,7.221299,30.550136,76.583352,1.607239,6.268131
0.020000,12.676185,153.678669,7.862948,32.082466,76.616527,1.658763,6.266848
0.020000,13.348399,153.667238,8.535260,33.615559,76.654646,1.905910,6.265515
