dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,647.279292,151.337556,0.000572,0.057211,2.860552,143.027618,3.141890
0.020000,647.279253,151.337556,0.000611,0.001939,-2.763579,-281.206546,3.141887
0.020000,647.279166,151.337556,0.000698,0.004364,0.121209,144.239379,3.141879
0.020000,647.279010,151.337556,0.000853,0.007757,0.169670,2.423029,3.141865
0.020000,647.278768,151.337555,0.001096,0.012119,0.218095,2.421263,3.141842
0.020000,647.278419,151.337555,0.001445,0.017448,0.266462,2.418371,3.141811
0.020000,647.277944,151.337555,0.001920,0.023743,0.314744,2.414071,3.141768
0.020000,647.277324,151.337555,0.002540,0.031001,0.362905,2.408083,3.141711
0.020000,647.276540,151.337555,0.003324,0.039219,0.410908,2.400123,3.141640
0.020000,647.249088,151.337556,0.030776,1.372608,66.669434,3312.926289,3.141552
0.020000,647.178692,151.337562,0.101172,3.519797,107.359432,2034.499898,3.141446
0.020000,647.094916,151.337580,0.184947,4.188771,33.448736,-3695.534775,3.141319
0.020000,646.996597,151.337614,0.283266,4.915942,36.358526,145.489474,3.141171
0.020000,646.882573,151.337672,0.397290,5.701198,39.262787,145.213060,3.140999
0.020000,646.751681,151.337763,0.528183,6.544645,42.172393,145.480300,3.140802
0.020000,646.602757,151.337897,0.677106,7.446163,45.075890,145.174874,3.140578
0.020000,646.434642,151.338089,0.845222,8.405795,47.981599,145.285429,3.140325
0.020000,646.246171,151.338354,1.033693,9.423522,50.886362,145.238149,3.140043
0.020000,646.036185,151.338713,1.243679,10.499323,53.790048,145.184307,3.139729
0.020000,645.803522,151.339187,1.476343,11.633174,56.692521,145.123630,3.139382
0.020000,645.547022,151.339803,1.732844,12.825047,59.593638,145.055865,3.139000
0.020000,645.265524,151.340592,2.014342,14.074939,62.494635,145.049871,3.138582
0.020000,644.957870,151.341588,2.321999,15.382811,65.393579,144.947193,3.138127
0.020000,644.622899,151.342832,2.656971,16.748637,68.291307,144.886394,3.137632
0.020000,644.259455,151.344368,3.020419,18.172375,71.186877,144.778515,3.137098
0.020000,643.866379,151.346248,3.413499,19.654009,74.081717,144.742005,3.136522
0.020000,643.442516,151.348529,3.837369,21.193494,76.974277,144.628002,3.135904
0.020000,642.987290,151.351269,4.292603,22.761714,78.410954,71.833848,3.135243
0.020000,642.500709,151.354530,4.779195,24.329587,78.393688,-0.863342,3.134539
0.020000,641.982782,151.358376,5.297136,25.897068,78.374044,-0.982177,3.133795
0.020000,641.433517,151.362875,5.846419,27.464158,78.354500,-0.977216,3.133010
0.020000,640.852924,151.368099,6.427035,29.030799,78.332020,-1.123998,3.132184
0.020000,640.241014,151.374121,7.038975,30.596984,78.309286,-1.136668,3.131320
0.020000,639.597798,151.381019,7.682229,32.162682,78.284879,-1.220379,3.130417
0.020000,638.923285,151.388875,8.356787,33.727902,78.261024,-1.192730,3.129478
0.020000,638.217491,151.397771,9.062638,35.292542,78.232007,-1.450849,3.128502
0.020000,637.480425,151.407793,9.799771,36.856667,78.206201,-1.290320,3.127490
0.020000,636.712104,151.419032,10.568175,38.420181,78.175732,-1.523452,3.126445
0.020000,635.912541,151.431576,11.367836,39.983089,78.145377,-1.517745,3.125366
0.020000,635.081751,151.445521,12.198744,41.545358,78.113485,-1.594580,3.124255
0.020000,634.219749,151.460960,13.060883,43.106988,78.081466,-1.600948,3.123114
0.020000,633.326553,151.477991,13.954241,44.667901,78.045674,-1.789635,3.121943
0.020000,632.402180,151.496713,14.878804,46.228127,78.011316,-1.717885,3.120744
0.020000,631.446649,151.517224,15.834556,47.787599,77.973580,-1.886773,3.119518
0.020000,630.459977,151.539627,16.821482,49.346312,77.935637,-1.897183,3.118266
0.020000,629.442184,151.564024,17.839567,50.904234,77.896125,-1.975578,3.116991
0.020000,628.393292,151.590517,18.888794,52.461339,77.855228,-2.044839,3.115693
0.020000,627.313321,151.619208,19.969146,54.017617,77.813908,-2.066012,3.114374
