dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,647.276020,162.337555,0.000572,0.057211,2.860552,143.027618,3.141890
0.020000,647.276020,162.337555,0.002861,0.171633,5.721105,143.027618,3.141887
0.020000,647.276020,162.337555,0.008010,0.343266,8.581657,143.027618,3.141879
0.020000,647.276020,162.337555,0.017163,0.572110,11.442209,143.027618,3.141865
0.020000,647.276020,162.337555,0.031466,0.858166,14.302762,143.027618,3.141842
0.020000,647.276020,162.337555,0.052062,1.201432,17.163314,143.027618,3.141811
0.020000,647.276020,162.337555,0.080095,1.601909,20.023867,143.027618,3.141768
0.020000,647.276020,162.337555,0.116711,2.059598,22.884419,143.027618,3.141711
0.020000,647.276020,162.337555,0.163051,2.574497,25.744971,143.027618,3.141640
0.020000,647.249536,162.337556,0.220263,3.146608,28.605524,143.027618,3.141552
0.020000,647.180310,162.337562,0.289488,3.775929,31.466076,143.027618,3.141446
0.020000,647.097926,162.337579,0.371872,4.462462,34.326628,143.027618,3.141319
0.020000,647.001239,162.337613,0.468558,5.206205,37.187181,143.027618,3.141171
0.020000,646.889106,162.337670,0.580692,6.007160,40.047733,143.027618,3.140999
0.020000,646.760381,162.337759,0.709417,6.865326,42.908285,143.027618,3.140802
0.020000,646.613921,162.337891,0.855877,7.780702,45.768838,143.027618,3.140578
0.020000,646.448581,162.338080,1.021217,8.753290,48.629390,143.027618,3.140325
0.020000,646.263217,162.338341,1.206581,9.783089,51.489943,143.027618,3.140043
0.020000,646.056686,162.338694,1.413113,10.870099,54.350495,143.027618,3.139729
0.020000,645.827842,162.339160,1.641957,12.014320,57.211047,143.027618,3.139382
0.020000,645.575542,162.339766,1.894258,13.215752,60.071600,143.027618,3.139000
0.020000,645.298642,162.340542,2.171159,14.474395,62.932152,143.027618,3.138582
0.020000,644.995997,162.341522,2.473806,15.790249,65.792704,143.027618,3.138127
0.020000,644.666464,162.342746,2.803341,17.163314,68.653257,143.027618,3.137632
0.020000,644.308898,162.344257,3.160910,18.593590,71.513809,143.027618,3.137098
0.020000,643.922156,162.346107,3.547657,20.081078,74.374361,143.027618,3.136522
0.020000,643.505093,162.348351,3.964726,21.625776,77.234914,143.027618,3.135904
