dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,647.272748,173.337555,0.000572,0.057211,2.860552,143.027618,3.141890
0.020000,647.272787,173.337555,0.000611,0.001939,-2.763579,-281.206546,3.141887
0.020000,647.272874,173.337555,0.000698,0.004364,0.121209,144.239379,3.141879
0.020000,647.273029,173.337555,0.000853,0.007757,0.169670,2.423029,3.141865
0.020000,647.273272,173.337555,0.001096,0.012119,0.218095,2.421263,3.141842
0.020000,647.273621,173.337555,0.001445,0.017448,0.266462,2.418371,3.141811
0.020000,647.274096,173.337555,0.001920,0.023743,0.314744,2.414071,3.141768
0.020000,647.274716,173.337555,0.002540,0.031001,0.362905,2.408083,3.141711
0.020000,647.275500,173.337555,0.003324,0.039219,0.410908,2.400123,3.141640
0.020000,647.249984,173.337556,0.028840,1.275821,61.830072,3070.958203,3.141552
0.020000,647.181928,173.337562,0.096896,3.402759,106.346906,2225.841726,3.141446
0.020000,647.100937,173.337579,0.177887,4.049594,32.341766,-3700.257037,3.141319
0.020000,647.005882,173.337612,0.272942,4.752749,35.157737,140.798558,3.141171
0.020000,646.895639,173.337668,0.383185,5.512133,37.969225,140.574389,3.140999
0.020000,646.769081,173.337756,0.509742,6.327871,40.786885,140.883003,3.140802
0.020000,646.625084,173.337886,0.653740,7.199867,43.599798,140.645675,3.140578
0.020000,646.462520,173.338071,0.816304,8.128191,46.416175,140.818831,3.140325
0.020000,646.280264,173.338328,0.998561,9.112853,49.233140,140.848246,3.140043
0.020000,646.077187,173.338675,1.201638,10.153868,52.050755,140.880741,3.139729
0.020000,645.852162,173.339133,1.426663,11.251250,54.869087,140.916620,3.139382
0.020000,645.604062,173.339729,1.674763,12.405014,57.688211,140.956212,3.139000
0.020000,645.331759,173.340492,1.947067,13.615205,60.509545,141.066703,3.138582
0.020000,645.034124,173.341456,2.244704,14.881834,63.331453,141.095412,3.138127
0.020000,644.710028,173.342659,2.568803,16.204934,66.154992,141.176944,3.137632
0.020000,644.358340,173.344146,2.920493,17.584524,68.979509,141.225831,3.137098
0.020000,643.977932,173.345966,3.300906,19.020658,71.806654,141.357275,3.136522
0.020000,643.567670,173.348173,3.711174,20.513362,74.635211,141.427841,3.135904
0.020000,643.126988,173.350826,4.151864,22.034526,76.058201,71.149501,3.135243
0.020000,642.655877,173.353983,4.622985,23.556059,76.076648,0.922319,3.134539
0.020000,642.154332,173.357707,5.124545,25.077964,76.095253,0.930247,3.133795
0.020000,641.622344,173.362065,5.656551,26.600292,76.116419,1.058336,3.133010
0.020000,641.059906,173.367125,6.219011,28.123036,76.137215,1.039770,3.132184
0.020000,640.467010,173.372960,6.811936,29.646241,76.160242,1.151380,3.131320
0.020000,639.843647,173.379645,7.435335,31.169924,76.184132,1.194479,3.130417
0.020000,639.189809,173.387260,8.089217,32.694145,76.211048,1.345807,3.129478
0.020000,638.505486,173.395886,8.773595,34.218854,76.235456,1.220415,3.128502
0.020000,637.790669,173.405606,9.488478,35.744164,76.265479,1.501132,3.127490
0.020000,637.045348,173.416508,10.233878,37.270033,76.293488,1.400457,3.126445
0.020000,636.269513,173.428680,11.009809,38.796516,76.324120,1.531599,3.125366
0.020000,635.463154,173.442214,11.816281,40.323631,76.355779,1.582934,3.124255
0.020000,634.626259,173.457204,12.653310,41.851428,76.389836,1.702885,3.123114
0.020000,633.758819,173.473744,13.520908,43.379883,76.422757,1.646022,3.121943
0.020000,632.860822,173.491931,14.419089,44.909075,76.459601,1.842181,3.120744
0.020000,631.932256,173.511864,15.347869,46.438989,76.495697,1.804802,3.119518
0.020000,630.973110,173.533642,16.307262,47.969672,76.534126,1.921450,3.118266
0.020000,629.983371,173.557367,17.297285,49.501143,76.573568,1.972143,3.116991
0.020000,628.963028,173.583138,18.317954,51.033427,76.614203,2.031751,3.115693
0.020000,627.912068,173.611059,19.369285,52.566566,76.656967,2.138171,3.114374
0.020000,626.830478,173.641233,20.451296,54.100554,76.699391,2.121185,3.113035
0.020000,625.718244,173.673761,21.564005,55.635442,76.744366,2.248775,3.111678
0.020000,624.575355,173.708747,22.707430,57.171251,76.790459,2.304638,3.110306
0.020000,623.401795,173.746293,23.881590,58.708004,76.837637,2.358909,3.108919
0.020000,622.197552,173.786500,25.086505,60.245723,76.885969,2.416620,3.107519
0.020000,620.962610,173.829470,26.322193,61.784433,76.935518,2.477444,3.106108
0.020000,619.696956,173.875302,27.588677,63.324175,76.987074,2.577772,3.104689
0.020000,618.400575,173.924094,28.885976,64.864954,77.038971,2.594846,3.103262
0.020000,617.073451,173.975943,30.214112,66.406809,77.092718,2.687351,3.101830
0.020000,615.715570,174.030944,31.573107,67.949761,77.147605,2.744346,3.100395
0.020000,614.326914,174.089188,32.962984,69.493834,77.203693,2.804397,3.098959
0.020000,612.907468,174.150766,34.383765,71.039056,77.261072,2.868968,3.097524
0.020000,611.457215,174.215763,35.835474,72.585453,77.319854,2.939092,3.096091
0.020000,609.976137,174.284264,37.318135,74.133046,77.379647,2.989648,3.094664
0.020000,608.464217,174.356348,38.831772,75.681863,77.440854,3.060362,3.093245
0.020000,606.921437,174.432091,40.376411,77.231929,77.503282,3.121426,3.091835
0.020000,605.347777,174.511565,41.952076,78.783267,77.566944,3.183058,3.090438
0.020000,603.743218,174.594836,43.558794,80.335905,77.631877,3.246645,3.089054
