dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.622533,174.139626,0.000557,0.055709,2.785458,139.272923,6.282867
0.020000,5.622493,174.139626,0.000597,0.001995,-2.685733,-273.559586,6.282871
0.020000,5.622403,174.139626,0.000687,0.004487,0.124648,140.519082,6.282879
0.020000,5.622244,174.139626,0.000846,0.007977,0.174485,2.491832,6.282893
0.020000,5.621994,174.139626,0.001096,0.012463,0.224287,2.490090,6.282916
0.020000,5.621636,174.139626,0.001454,0.017944,0.274032,2.487236,6.282949
0.020000,5.621147,174.139626,0.001943,0.024417,0.323691,2.482995,6.282993
0.020000,5.620510,174.139626,0.002580,0.031882,0.373233,2.477086,6.283051
0.020000,5.619703,174.139626,0.003387,0.040334,0.422618,2.469233,6.283124
0.020000,5.636927,174.139627,0.020611,0.861206,41.043572,2031.047717,0.000030
0.020000,5.703132,174.139632,0.086816,3.310233,122.451336,4070.388196,0.000139
0.020000,5.781921,174.139648,0.165605,3.939478,31.462261,-4549.453742,0.000269
0.020000,5.874391,174.139680,0.258076,4.623506,34.201402,136.957059,0.000422
0.020000,5.981636,174.139735,0.365321,5.362253,36.937382,136.798996,0.000599
0.020000,6.104752,174.139821,0.488437,6.155801,39.677367,136.999238,0.000801
0.020000,6.244834,174.139949,0.628518,7.004085,42.414191,136.841194,0.001032
0.020000,6.402977,174.140133,0.786662,7.907168,45.154169,136.998909,0.001291
0.020000,6.580278,174.140388,0.963963,8.865064,47.894822,137.032617,0.001582
0.020000,6.777834,174.140732,1.161519,9.877778,50.635681,137.042969,0.001905
0.020000,6.996740,174.141188,1.380425,10.945335,53.377859,137.108928,0.002262
0.020000,7.238094,174.141782,1.621780,12.067743,56.120378,137.125926,0.002655
0.020000,7.502993,174.142542,1.886680,13.245020,58.863838,137.172977,0.003085
0.020000,7.792536,174.143503,2.176225,14.477225,61.610275,137.321863,0.003554
0.020000,8.107821,174.144704,2.491512,15.764350,64.356252,137.298877,0.004063
0.020000,8.449947,174.146189,2.833641,17.106471,67.106062,137.490478,0.004613
0.020000,8.820014,174.148006,3.203713,18.503567,69.854763,137.435072,0.005206
0.020000,9.219122,174.150211,3.602827,19.955704,72.606874,137.605545,0.005843
0.020000,9.648372,174.152865,4.032085,21.462913,75.360462,137.679383,0.006525
0.020000,10.108319,174.156034,4.492043,22.997886,76.748626,69.408229,0.007252
0.020000,10.598969,174.159782,4.982707,24.533222,76.766817,0.909544,0.008024
0.020000,11.120330,174.164178,5.504087,26.069001,76.788918,1.105023,0.008840
0.020000,11.672411,174.169296,6.056191,27.605206,76.810266,1.067389,0.009698
0.020000,12.255219,174.175211,6.639029,29.141892,76.834321,1.202762,0.010599
0.020000,12.868763,174.182004,7.252611,30.679077,76.859222,1.245067,0.011541
0.020000,13.513051,174.189757,7.896946,32.216777,76.885037,1.290739,0.012523
0.020000,14.188095,174.198556,8.572048,33.755063,76.914277,1.461984,0.013545
0.020000,14.893903,174.208491,9.277925,35.293888,76.941257,1.349006,0.014604
0.020000,15.630486,174.219653,10.014592,36.833349,76.973023,1.588298,0.015701
0.020000,16.397853,174.232138,10.782061,38.373436,77.004384,1.568063,0.016834
0.020000,17.196015,174.246042,11.580345,39.914180,77.037185,1.640067,0.018001
0.020000,18.024984,174.261465,12.409457,41.455630,77.072482,1.764858,0.019202
0.020000,18.884771,174.278508,13.269413,42.997772,77.107124,1.732059,0.020435
0.020000,19.775387,174.297274,14.160226,44.540674,77.145098,1.898713,0.021699
0.020000,20.696843,174.317869,15.081913,46.084336,77.183087,1.899448,0.022992
0.020000,21.649153,174.340400,16.034489,47.628805,77.223474,2.019341,0.024314
0.020000,22.632328,174.364974,17.017971,49.174103,77.264874,2.070003,0.025662
0.020000,23.646381,174.391700,18.032376,50.720250,77.307372,2.124893,0.027034
0.020000,24.691324,174.420687,19.077721,52.267271,77.351047,2.183775,0.028430
0.020000,25.767172,174.452048,20.154026,53.815215,77.397178,2.306530,0.029848
0.020000,26.873936,174.485891,21.261307,55.364081,77.443292,2.305729,0.031286
0.020000,28.011631,174.522327,22.399586,56.913918,77.491858,2.428274,0.032742
0.020000,29.180271,174.561468,23.568881,58.464748,77.541515,2.482876,0.034214
0.020000,30.379869,174.603423,24.769213,60.016595,77.592348,2.541642,0.035701
