dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.615533,152.139627,0.000557,0.055709,2.785458,139.272923,6.282867
0.020000,5.615573,152.139627,0.000597,0.001995,-2.685733,-273.559586,6.282871
0.020000,5.615663,152.139627,0.000687,0.004487,0.124648,140.519082,6.282879
0.020000,5.615822,152.139627,0.000846,0.007977,0.174485,2.491832,6.282893
0.020000,5.616071,152.139627,0.001096,0.012463,0.224287,2.490090,6.282916
0.020000,5.616430,152.139627,0.001454,0.017944,0.274032,2.487236,6.282949
0.020000,5.616919,152.139627,0.001943,0.024417,0.323691,2.482995,6.282993
0.020000,5.617556,152.139626,0.002580,0.031882,0.373233,2.477086,6.283051
0.020000,5.618363,152.139626,0.003387,0.040334,0.422618,2.469233,6.283124
0.020000,5.637578,152.139627,0.022602,0.960747,46.020627,2279.900442,0.000030
0.020000,5.706190,152.139632,0.091214,3.430604,123.492838,3873.610585,0.000139
0.020000,5.787843,152.139649,0.172867,4.082623,32.600985,-4544.592674,0.000269
0.020000,5.883670,152.139682,0.268694,4.791358,35.436735,141.787491,0.000422
0.020000,5.994804,152.139739,0.379828,5.556725,38.268330,141.579741,0.000599
0.020000,6.122380,152.139828,0.507404,6.378786,41.103049,141.735982,0.000801
0.020000,6.267529,152.139961,0.652553,7.257452,43.933310,141.513053,0.001032
0.020000,6.431384,152.140151,0.816408,8.192762,46.765487,141.608860,0.001291
0.020000,6.615078,152.140415,1.000102,9.184698,49.596830,141.567115,0.001582
0.020000,6.819742,152.140772,1.204767,10.233231,52.426661,141.491549,0.001905
0.020000,7.046509,152.141245,1.431534,11.338350,55.255928,141.463388,0.002262
0.020000,7.296508,152.141859,1.681534,12.500018,58.083403,141.373709,0.002655
0.020000,7.570871,152.142647,1.955898,13.718208,60.909478,141.303786,0.003085
0.020000,7.870728,152.143642,2.255757,14.992928,63.736025,141.327344,0.003554
0.020000,8.197208,152.144886,2.582239,16.324113,66.559231,141.160308,0.004063
0.020000,8.551440,152.146423,2.936475,17.711778,69.383277,141.202305,0.004613
0.020000,8.934552,152.148304,3.319591,19.155834,72.202772,140.974732,0.005206
0.020000,9.347671,152.150586,3.732717,20.656276,75.022105,140.966639,0.005843
0.020000,9.791924,152.153334,4.176978,22.213055,77.838974,140.843455,0.006525
0.020000,10.267869,152.156613,4.652935,23.797830,79.238740,69.988299,0.007252
0.020000,10.775498,152.160490,5.160578,25.382183,79.217635,-1.055238,0.008024
0.020000,11.314802,152.165038,5.699901,26.966140,79.197869,-0.988333,0.008840
0.020000,11.885770,152.170331,6.270894,28.549632,79.174609,-1.162987,0.009698
0.020000,12.488392,152.176447,6.873547,30.132661,79.151428,-1.159037,0.010599
0.020000,13.122657,152.183469,7.507851,31.715189,79.126393,-1.251732,0.011541
0.020000,13.788552,152.191482,8.173794,33.297180,79.099568,-1.341289,0.012523
0.020000,14.486066,152.200574,8.871367,34.878651,79.073539,-1.301442,0.013545
0.020000,15.215184,152.210837,9.600557,36.459499,79.042426,-1.555653,0.014604
0.020000,15.975892,152.222365,10.361353,38.039769,79.013502,-1.446200,0.015701
0.020000,16.768175,152.235255,11.153741,39.619397,78.981397,-1.605218,0.016834
0.020000,17.592017,152.249606,11.977708,41.198358,78.948013,-1.669218,0.018001
0.020000,18.447402,152.265521,12.833241,42.776646,78.914432,-1.679038,0.019202
0.020000,19.334312,152.283101,13.720325,44.354194,78.877398,-1.851734,0.020435
0.020000,20.252728,152.302453,14.638945,45.931015,78.841021,-1.818840,0.021699
0.020000,21.202632,152.323684,15.589086,47.507052,78.801875,-1.957313,0.022992
0.020000,22.184003,152.346902,16.570732,49.082300,78.762413,-1.973053,0.024314
0.020000,23.196822,152.372217,17.583866,50.656725,78.721207,-2.060310,0.025662
0.020000,24.241065,152.399738,18.628472,52.230291,78.678342,-2.143265,0.027034
0.020000,25.316710,152.429578,19.704532,53.802969,78.633899,-2.222129,0.028430
0.020000,26.423735,152.461847,20.812027,55.374753,78.589194,-2.235264,0.029848
0.020000,27.562115,152.496657,21.950938,56.945587,78.541683,-2.375532,0.031286
0.020000,28.731825,152.534119,23.121248,58.515465,78.493908,-2.388785,0.032742
0.020000,29.932838,152.574344,24.322935,60.084355,78.444471,-2.471844,0.034214
0.020000,31.165129,152.617442,25.555979,61.652224,78.393462,-2.550435,0.035701
0.020000,32.428670,152.663522,26.820360,63.219043,78.340964,-2.624906,0.037201
0.020000,33.723433,152.712693,28.116056,64.784790,78.287356,-2.680417,0.038711
0.020000,35.049388,152.765059,29.443045,66.349440,78.232467,-2.744420,0.040230
0.020000,36.406506,152.820726,30.801304,67.912962,78.176128,-2.816957,0.041756
0.020000,37.794756,152.879795,32.190811,69.475327,78.118241,-2.894336,0.043286
0.020000,39.214108,152.942365,33.611541,71.036510,78.059178,-2.953194,0.044819
0.020000,40.664529,153.008533,35.063471,72.596488,77.998852,-3.016289,0.046352
0.020000,42.145988,153.078391,36.546575,74.155227,77.936991,-3.093051,0.047882
0.020000,43.658450,153.152029,38.060829,75.712704,77.873855,-3.156785,0.049409
0.020000,45.201883,153.229531,39.606207,77.268893,77.809404,-3.222565,0.050929
0.020000,46.776253,153.310979,41.182682,78.823765,77.743644,-3.287983,0.052440
0.020000,48.381525,153.396449,42.790228,80.377296,77.676508,-3.356833,0.053939
0.020000,50.017665,153.486011,44.428817,81.929457,77.608056,-3.422570,0.055424
0.020000,51.684637,153.579730,46.098422,83.480223,77.538340,-3.485799,0.056893
0.020000,53.381845,153.677634,47.798451,85.001453,76.061489,-73.842534,0.058342
0.020000,55.108131,153.779706,49.527752,86.465053,73.180000,-144.074450,0.059768
0.020000,56.862340,153.885917,51.285173,87.871067,70.300682,-143.965910,0.061168
0.020000,58.643318,153.996224,53.069564,89.219543,67.423821,-143.843063,0.062538
0.020000,60.449913,154.110572,54.879775,90.510535,64.549591,-143.711502,0.063874
0.020000,62.280976,154.228894,56.714657,91.744098,61.678146,-143.572261,0.065175
0.020000,64.135359,154.351108,58.573063,92.920290,58.809596,-143.427475,0.066436
0.020000,66.011916,154.477122,60.453846,94.039164,55.943691,-143.295265,0.067656
0.020000,67.909504,154.606830,62.355862,95.100794,53.081493,-143.109893,0.068830
0.020000,69.826982,154.740114,64.277966,96.105235,50.222072,-142.971062,0.069957
0.020000,71.763212,154.876845,66.219018,97.052555,47.366008,-142.803205,0.071033
0.020000,73.717056,155.016883,68.177874,97.942827,44.513610,-142.619889,0.072058
0.020000,75.687382,155.160077,70.153397,98.776119,41.664579,-142.451545,0.073027
0.020000,77.673058,155.306263,72.144447,99.552503,38.819175,-142.270210,0.073939
0.020000,79.672956,155.455271,74.149888,100.272051,35.977447,-142.086378,0.074791
0.020000,81.685948,155.606920,76.168584,100.934839,33.139351,-141.904806,0.075583
0.020000,83.710912,155.761020,78.199403,101.540946,30.305395,-141.697829,0.076312
0.020000,85.746726,155.917372,80.241212,102.090450,27.475181,-141.510669,0.076977
0.020000,87.792271,156.075771,82.292881,102.583423,24.648631,-141.327505,0.077575
0.020000,89.846430,156.236005,84.353280,103.019955,21.826600,-141.101570,0.078107
0.020000,91.908089,156.397855,86.421282,103.400117,19.008131,-140.923443,0.078570
0.020000,93.976136,156.561098,88.495762,103.724000,16.194116,-140.700753,0.078963
0.020000,96.049461,156.725504,90.575596,103.991677,13.383864,-140.512586,0.079286
0.020000,98.126957,156.890843,92.659660,104.203239,10.578090,-140.288713,0.079538
0.020000,100.207518,157.056877,94.746836,104.358764,7.776253,-140.091828,0.079718
0.020000,102.290040,157.223370,96.836003,104.458338,4.978698,-139.877772,0.079826
0.020000,104.373357,157.390077,98.925978,104.498783,2.022278,-147.820963,0.079861
0.020000,106.455747,157.556708,101.015025,104.452345,-2.321894,-217.208601,0.079824
0.020000,108.535560,157.722979,103.101473,104.322415,-6.496509,-208.730758,0.079715
0.020000,110.611699,157.888652,105.184212,104.136941,-9.273702,-138.859682,0.079533
0.020000,112.683071,158.053491,107.262132,103.896009,-12.046587,-138.644242,0.079280
0.020000,114.748582,158.217263,109.334126,103.599701,-14.815429,-138.442075,0.078955
0.020000,116.807142,158.379739,111.399088,103.248101,-17.580015,-138.229325,0.078560
0.020000,118.857661,158.540694,113.455914,102.841292,-20.340440,-138.021256,0.078096
0.020000,120.899048,158.699908,115.503501,102.379354,-23.096867,-137.821343,0.077564
