dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,641.657811,150.535484,0.000573,0.057308,2.865407,143.270338,3.141255
0.020000,641.657857,150.535484,0.000619,0.002307,-2.750033,-280.771979,3.141260
0.020000,641.657961,150.535484,0.000723,0.005192,0.144207,144.712000,3.141269
0.020000,641.658145,150.535484,0.000908,0.009229,0.201861,2.882713,3.141286
0.020000,641.658433,150.535484,0.001196,0.014418,0.259472,2.880519,3.141312
0.020000,641.658849,150.535484,0.001611,0.020758,0.317010,2.876926,3.141350
0.020000,641.659414,150.535484,0.002176,0.028247,0.374442,2.871584,3.141401
0.020000,641.660151,150.535484,0.002914,0.036882,0.431725,2.864143,3.141468
0.020000,641.661084,150.535484,0.003847,0.046658,0.488810,2.854252,3.141553
0.020000,641.626665,150.535483,0.038266,1.720972,83.715693,4161.344156,3.141658
0.020000,641.558714,150.535474,0.106217,3.397535,83.828177,5.624217,3.141784
0.020000,641.477847,150.535452,0.187085,4.043385,32.292464,-2576.785686,3.141935
0.020000,641.382937,150.535412,0.281995,4.745497,35.105597,140.656661,3.142111
0.020000,641.272862,150.535343,0.392070,5.503743,37.912297,140.335011,3.142316
0.020000,641.146497,150.535237,0.518435,6.318249,40.725344,140.652356,3.142550
0.020000,641.002717,150.535080,0.662214,7.188984,43.536744,140.569990,3.142816
0.020000,640.840398,150.534857,0.824533,8.115955,46.348509,140.588255,3.143116
0.020000,640.658415,150.534549,1.006517,9.099199,49.162200,140.684532,3.143452
0.020000,640.455640,150.534134,1.209292,10.138732,51.976670,140.723491,3.143826
0.020000,640.230950,150.533586,1.433983,11.234572,54.792000,140.766535,3.144239
0.020000,639.983215,150.532875,1.681719,12.386778,57.610326,140.916300,3.144692
0.020000,639.711310,150.531964,1.953626,13.595329,60.427541,140.860717,3.145189
0.020000,639.414106,150.530815,2.250831,14.860294,63.248221,141.034012,3.145731
0.020000,639.090476,150.529380,2.574465,16.181680,66.069306,141.054279,3.146318
0.020000,638.739289,150.527609,2.925656,17.559557,68.893871,141.228217,3.146953
0.020000,638.359416,150.525443,3.305535,18.993957,71.720006,141.306743,3.147637
0.020000,637.950288,150.522820,3.714672,20.456813,73.142796,71.139522,3.148370
0.020000,637.511899,150.519677,4.153073,21.920049,73.161772,0.948786,3.149152
0.020000,637.044239,150.515948,4.620747,23.383747,73.184904,1.156627,3.149982
0.020000,636.547301,150.511560,5.117705,24.847864,73.205845,1.047041,3.150859
0.020000,636.021076,150.506441,5.643954,26.312483,73.230959,1.255694,3.151782
0.020000,635.465555,150.500511,6.199507,27.777622,73.256936,1.298848,3.152751
0.020000,634.880729,150.493689,6.784373,29.243299,73.283849,1.345671,3.153763
0.020000,634.266588,150.485889,7.398563,30.709534,73.311773,1.396202,3.154819
0.020000,633.623121,150.477024,8.042091,32.176386,73.342588,1.540743,3.155917
0.020000,632.950319,150.467002,8.714968,33.643850,73.373223,1.531743,3.157056
0.020000,632.248169,150.455729,9.417208,35.112005,73.407761,1.726919,3.158235
0.020000,631.516662,150.443108,10.148825,36.580827,73.441080,1.665934,3.159452
0.020000,630.755784,150.429040,10.909832,38.050377,73.477480,1.819968,3.160706
0.020000,629.965525,150.413423,11.700246,39.520682,73.515262,1.889139,3.161996
0.020000,629.145872,150.396153,12.520081,40.991741,73.552976,1.885668,3.163321
0.020000,628.296812,150.377123,13.369354,42.463647,73.595277,2.115076,3.164679
0.020000,627.418333,150.356227,14.248081,43.936365,73.635894,2.030862,3.166068
