dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,641.661521,161.535484,0.000573,0.057308,2.865407,143.270338,3.141255
0.020000,641.661521,161.535484,0.002865,0.171924,5.730814,143.270338,3.141260
0.020000,641.661521,161.535484,0.008023,0.343849,8.596220,143.270338,3.141269
0.020000,641.661521,161.535484,0.017192,0.573081,11.461627,143.270338,3.141286
0.020000,641.661521,161.535484,0.031519,0.859622,14.327034,143.270338,3.141312
0.020000,641.661521,161.535484,0.052150,1.203471,17.192441,143.270338,3.141350
0.020000,641.661521,161.535484,0.080231,1.604628,20.057847,143.270338,3.141401
0.020000,641.661521,161.535484,0.116909,2.063093,22.923254,143.270338,3.141468
0.020000,641.661521,161.535484,0.163328,2.578866,25.788661,143.270338,3.141553
0.020000,641.625950,161.535483,0.220636,3.151947,28.654068,143.270338,3.141658
0.020000,641.556607,161.535474,0.289979,3.782337,31.519474,143.270338,3.141784
0.020000,641.474084,161.535452,0.372503,4.470035,34.384881,143.270338,3.141935
0.020000,641.377233,161.535410,0.469354,5.215040,37.250288,143.270338,3.142111
0.020000,641.264909,161.535340,0.581678,6.017354,40.115695,143.270338,3.142316
0.020000,641.135966,161.535232,0.710621,6.876976,42.981101,143.270338,3.142550
0.020000,640.989257,161.535072,0.857330,7.793906,45.846508,143.270338,3.142816
0.020000,640.823637,161.534845,1.022950,8.768145,48.711915,143.270338,3.143116
0.020000,640.637959,161.534530,1.208629,9.799691,51.577322,143.270338,3.143452
0.020000,640.431077,161.534107,1.415511,10.888546,54.442728,143.270338,3.143826
0.020000,640.201845,161.533548,1.644743,12.034708,57.308135,143.270338,3.144239
0.020000,639.949117,161.532822,1.897472,13.238179,60.173542,143.270338,3.144692
0.020000,639.671747,161.531893,2.174844,14.498958,63.038949,143.270338,3.145189
0.020000,639.368589,161.530721,2.478004,15.817045,65.904355,143.270338,3.145731
0.020000,639.038498,161.529258,2.808099,17.192441,68.769762,143.270338,3.146318
0.020000,638.680327,161.527451,3.166274,18.625144,71.635169,143.270338,3.146953
