dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,641.665232,172.535483,0.000573,0.057308,2.865407,143.270338,3.141255
0.020000,641.665186,172.535483,0.000619,0.002307,-2.750033,-280.771979,3.141260
0.020000,641.665082,172.535483,0.000723,0.005192,0.144207,144.712000,3.141269
0.020000,641.664897,172.535483,0.000908,0.009229,0.201861,2.882713,3.141286
0.020000,641.664609,172.535483,0.001196,0.014418,0.259472,2.880519,3.141312
0.020000,641.664194,172.535484,0.001611,0.020758,0.317010,2.876926,3.141350
0.020000,641.663629,172.535484,0.002176,0.028247,0.374442,2.871584,3.141401
0.020000,641.662891,172.535484,0.002914,0.036882,0.431725,2.864143,3.141468
0.020000,641.661958,172.535484,0.003847,0.046658,0.488810,2.854252,3.141553
0.020000,641.625236,172.535483,0.040569,1.836114,89.472812,4449.200110,3.141658
0.020000,641.554500,172.535474,0.111304,3.536765,85.032521,-222.014571,3.141784
0.020000,641.470322,172.535451,0.195483,4.208946,33.609047,-2571.173695,3.141935
0.020000,641.371529,172.535409,0.294276,4.939619,36.533683,146.231809,3.142111
0.020000,641.256957,172.535338,0.408848,5.728630,39.450514,145.841568,3.142316
0.020000,641.125435,172.535227,0.540370,6.576083,42.372659,146.107226,3.142550
0.020000,640.975797,172.535064,0.690008,7.481915,45.291596,145.946858,3.142816
0.020000,640.806875,172.534832,0.858930,8.446099,48.209207,145.880553,3.143116
0.020000,640.617503,172.534511,1.048303,9.468637,51.126887,145.884011,3.143452
0.020000,640.406513,172.534080,1.259293,10.549501,54.043200,145.815650,3.143826
0.020000,640.172740,172.533509,1.493066,11.688660,56.957973,145.738641,3.144239
0.020000,639.915019,172.532769,1.750789,12.886123,59.873153,145.759006,3.144692
0.020000,639.632185,172.531822,2.033625,14.141807,62.784180,145.551326,3.145189
0.020000,639.323072,172.530626,2.342739,15.455717,65.695512,145.566590,3.145731
0.020000,638.986520,172.529135,2.679295,16.827790,68.603646,145.406734,3.146318
0.020000,638.621364,172.527293,3.044455,18.258019,71.511446,145.389991,3.146953
0.020000,638.226444,172.525041,3.439382,19.746350,74.416576,145.256517,3.147637
0.020000,637.801182,172.522315,3.864653,21.263520,75.858484,72.095406,3.148370
0.020000,637.345588,172.519049,4.320258,22.780274,75.837692,-1.039627,3.149152
0.020000,636.859671,172.515173,4.806191,24.296639,75.818275,-0.970870,3.149982
0.020000,636.343441,172.510616,5.322441,25.812512,75.793626,-1.232425,3.150859
0.020000,635.796908,172.505299,5.869000,27.327919,75.770351,-1.163755,3.151782
0.020000,635.220085,172.499141,6.445856,28.842819,75.745000,-1.267532,3.152751
0.020000,634.612983,172.492059,7.052999,30.357172,75.717642,-1.367928,3.153763
0.020000,633.975615,172.483965,7.690418,31.870939,75.688344,-1.464899,3.154819
0.020000,633.307996,172.474767,8.358101,33.384120,75.659049,-1.464759,3.155917
0.020000,632.610141,172.464372,9.056034,34.896651,75.626561,-1.624390,3.157056
0.020000,631.882063,172.452683,9.784205,36.408553,75.595108,-1.572627,3.158235
0.020000,631.123781,172.439600,10.542599,37.919740,75.559369,-1.786949,3.159452
0.020000,630.335312,172.425022,11.331204,39.430216,75.523797,-1.778637,3.160706
0.020000,629.516673,172.408844,12.150003,40.939949,75.486623,-1.858694,3.161996
0.020000,628.667884,172.390959,12.998980,42.448875,75.446337,-2.014262,3.163321
0.020000,627.788964,172.371261,13.878121,43.957031,75.407759,-1.928926,3.164679
0.020000,626.879935,172.349638,14.787407,45.464318,75.364387,-2.168586,3.166068
0.020000,625.940818,172.325981,15.726822,46.970744,75.321304,-2.154170,3.167487
0.020000,624.971636,172.300176,16.696348,48.476271,75.276343,-2.248013,3.168934
0.020000,623.972412,172.272111,17.695965,49.980863,75.229599,-2.337217,3.170407
0.020000,622.943172,172.241672,18.725655,51.484515,75.182604,-2.349753,3.171906
0.020000,621.883941,172.208745,19.785398,52.987152,75.131818,-2.539313,3.173427
0.020000,620.794744,172.173216,20.875174,54.488788,75.081812,-2.500285,3.174970
0.020000,619.675610,172.134972,21.994961,55.989367,75.028953,-2.642976,3.176531
0.020000,618.526567,172.093899,23.144739,57.488864,74.974839,-2.705692,3.178110
0.020000,617.347643,172.049884,24.324484,58.987260,74.919835,-2.750178,3.179705
0.020000,616.138869,172.002818,25.534174,60.484508,74.862363,-2.873605,3.181312
0.020000,614.900275,171.952589,26.773786,61.980589,74.804078,-2.914264,3.182930
0.020000,613.631893,171.899090,28.043295,63.475470,74.744018,-3.002982,3.184558
