dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.807453,130.025704,0.000560,0.055990,2.799490,139.974487,0.000864
0.020000,4.807609,130.025705,0.000715,0.007769,-2.411017,-260.525352,0.000850
0.020000,4.807958,130.025705,0.001065,0.017481,0.485554,144.828572,0.000819
0.020000,4.808580,130.025705,0.001686,0.031074,0.679674,9.705993,0.000762
0.020000,4.809551,130.025706,0.002657,0.048547,0.873638,9.698183,0.000674
0.020000,4.810948,130.025707,0.004055,0.069894,1.067345,9.685390,0.000547
0.020000,4.812851,130.025708,0.005957,0.095107,1.260673,9.666360,0.000374
0.020000,4.815334,130.025708,0.008441,0.124177,1.453469,9.639834,0.000148
0.020000,4.840337,130.025707,0.033444,1.250140,56.298180,2742.235524,6.283048
0.020000,4.900205,130.025688,0.093311,2.993382,87.162095,1543.195754,6.282695
0.020000,4.972638,130.025637,0.165745,3.621666,31.414194,-2787.395023,6.282269
0.020000,5.058839,130.025536,0.251946,4.310080,34.420691,150.324816,6.281762
0.020000,5.159998,130.025362,0.353105,5.057942,37.393127,148.621796,6.281168
0.020000,5.277309,130.025085,0.470416,5.865556,40.380669,149.377128,6.280480
0.020000,5.411966,130.024668,0.605074,6.732907,43.367559,149.344513,6.279690
0.020000,5.565163,130.024064,0.758272,7.659906,46.349967,149.120373,6.278794
0.020000,5.738090,130.023217,0.931201,8.646448,49.327070,148.855171,6.277783
0.020000,5.931935,130.022060,1.125050,9.692408,52.298014,148.547206,6.276652
0.020000,6.147883,130.020513,1.341003,10.797694,55.264332,148.315875,6.275395
0.020000,6.387127,130.018483,1.580256,11.962629,58.246713,149.119057,6.274004
0.020000,6.650845,130.015860,1.843987,13.186547,61.195905,147.459597,6.272476
0.020000,6.940219,130.012519,2.133380,14.469658,64.155575,147.983496,6.270803
0.020000,7.256427,130.008315,2.449616,15.811805,67.107336,147.588073,6.268980
0.020000,7.600643,130.003084,2.793871,17.212760,70.047752,147.020771,6.267002
0.020000,7.974042,129.996641,3.167326,18.672730,72.998502,147.537492,6.264864
0.020000,8.377785,129.988778,3.571146,20.190989,75.912921,145.720955,6.262562
0.020000,8.813037,129.979262,4.006502,21.767806,78.840880,146.397945,6.260090
0.020000,9.280955,129.967833,4.474559,23.402863,81.752819,145.596953,6.257445
0.020000,9.782686,129.954206,4.976476,25.095818,84.647763,144.747200,6.254622
0.020000,10.319378,129.938066,5.513410,26.846746,87.546417,144.932706,6.251620
0.020000,10.892164,129.919065,6.086512,28.655056,90.415496,143.453961,6.248435
0.020000,11.502173,129.896828,6.696925,30.520679,93.281157,143.283024,6.245064
0.020000,12.150521,129.870943,7.345790,32.443242,96.128128,142.348565,6.241506
0.020000,12.838320,129.840967,8.034241,34.422570,98.966435,141.915353,6.237760
0.020000,13.566663,129.806421,8.763404,36.458121,101.777531,140.554804,6.233824
0.020000,14.336637,129.766789,9.534397,38.549637,104.575814,139.914129,6.229700
0.020000,15.148718,129.721556,10.347736,40.666992,105.867727,64.595683,6.225391
0.020000,16.002778,129.670215,11.203338,42.780102,105.655515,-10.610588,6.220905
0.020000,16.898678,129.612248,12.101112,44.888671,105.428458,-11.352864,6.216249
