dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.816962,119.025708,0.000560,0.055990,2.799490,139.974487,0.000864
0.020000,4.816962,119.025708,0.002799,0.167969,5.598979,139.974487,0.000850
0.020000,4.816962,119.025708,0.007839,0.335939,8.398469,139.974487,0.000819
0.020000,4.816962,119.025708,0.016797,0.559898,11.197959,139.974487,0.000762
0.020000,4.816962,119.025708,0.030794,0.839847,13.997449,139.974487,0.000674
0.020000,4.816962,119.025708,0.050951,1.175786,16.796938,139.974487,0.000547
0.020000,4.816962,119.025708,0.078386,1.567714,19.596428,139.974487,0.000374
0.020000,4.816962,119.025708,0.114219,2.015633,22.395918,139.974487,0.000148
0.020000,4.838823,119.025707,0.159571,2.519541,25.195408,139.974487,6.283048
0.020000,4.894814,119.025689,0.215561,3.079439,27.994897,139.974487,6.282695
0.020000,4.962559,119.025642,0.283308,3.695326,30.794387,139.974487,6.282269
0.020000,5.043186,119.025547,0.363934,4.367204,33.593877,139.974487,6.281762
0.020000,5.137809,119.025385,0.458556,5.095071,36.393367,139.974487,6.281168
0.020000,5.247547,119.025126,0.568296,5.878928,39.192856,139.974487,6.280480
0.020000,5.373523,119.024735,0.694273,6.718775,41.992346,139.974487,6.279690
0.020000,5.516856,119.024170,0.837607,7.614612,44.791836,139.974487,6.278794
0.020000,5.678666,119.023377,0.999418,8.566439,47.591325,139.974487,6.277783
0.020000,5.860070,119.022295,1.180825,9.574255,50.390815,139.974487,6.276652
0.020000,6.062186,119.020847,1.382948,10.638061,53.190305,139.974487,6.275395
0.020000,6.286139,119.018947,1.606907,11.757857,55.989795,139.974487,6.274004
0.020000,6.533042,119.016491,1.853822,12.933643,58.789284,139.974487,6.272476
0.020000,6.804014,119.013362,2.124813,14.165418,61.588774,139.974487,6.270803
0.020000,7.100174,119.009424,2.420999,15.453183,64.388264,139.974487,6.268980
0.020000,7.422636,119.004524,2.743500,16.796938,67.187754,139.974487,6.267002
0.020000,7.772522,118.998487,3.093436,18.196683,69.987243,139.974487,6.264864
0.020000,8.150940,118.991117,3.471927,19.652418,72.786733,139.974487,6.262562
0.020000,8.559008,118.982195,3.880093,21.164142,75.586223,139.974487,6.260090
0.020000,8.997838,118.971477,4.319053,22.731857,78.385713,139.974487,6.257445
0.020000,9.468537,118.958693,4.789927,24.355561,81.185202,139.974487,6.254622
0.020000,9.972218,118.943545,5.293835,26.035255,83.984692,139.974487,6.251620
0.020000,10.509984,118.925706,5.831897,27.770938,86.784182,139.974487,6.248435
0.020000,11.082938,118.904820,6.405233,29.562612,89.583672,139.974487,6.245064
0.020000,11.692181,118.880496,7.014961,31.410275,92.383161,139.974487,6.241506
0.020000,12.338809,118.852315,7.662203,33.313928,95.182651,139.974487,6.237760
0.020000,13.023913,118.819819,8.348078,35.273571,97.982141,139.974487,6.233824
0.020000,13.748581,118.782519,9.073706,37.289203,100.781630,139.974487,6.229700
0.020000,14.513335,118.739921,9.839647,39.304836,100.781630,-0.000000,6.225391
0.020000,15.318135,118.691542,10.645900,41.320468,100.781630,0.000000,6.220905
0.020000,16.162933,118.636881,11.492465,43.336101,100.781630,0.000000,6.216249
0.020000,17.047679,118.575426,12.379344,45.351734,100.781630,0.000000,6.211434
0.020000,17.972314,118.506654,13.306535,47.367366,100.781630,-0.000000,6.206467
