dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.826470,108.025713,0.000560,0.055990,2.799490,139.974487,0.000864
0.020000,4.826315,108.025712,0.000715,0.007769,-2.411017,-260.525352,0.000850
0.020000,4.825965,108.025712,0.001065,0.017481,0.485554,144.828572,0.000819
0.020000,4.825344,108.025712,0.001686,0.031074,0.679674,9.705993,0.000762
0.020000,4.824373,108.025711,0.002657,0.048547,0.873638,9.698183,0.000674
0.020000,4.822975,108.025710,0.004055,0.069894,1.067345,9.685390,0.000547
0.020000,4.821073,108.025709,0.005957,0.095107,1.260673,9.666360,0.000374
0.020000,4.818589,108.025709,0.008441,0.124177,1.453469,9.639834,0.000148
0.020000,4.837308,108.025707,0.027160,0.935954,40.588860,1956.769518,6.283048
0.020000,4.889423,108.025691,0.079274,2.605709,83.487751,2144.944586,6.282695
0.020000,4.952481,108.025646,0.142332,3.152907,27.359919,-2806.391622,6.282269
0.020000,5.027533,108.025559,0.217385,3.752624,29.985829,131.295493,6.281762
0.020000,5.115619,108.025407,0.305471,4.404322,32.584937,129.955391,6.281168
0.020000,5.217786,108.025166,0.407638,5.108334,35.200580,130.782166,6.280480
0.020000,5.335080,108.024802,0.524932,5.864727,37.819627,130.952367,6.279690
0.020000,5.468549,108.024276,0.658403,6.673514,40.439384,130.987810,6.278794
0.020000,5.619241,108.023538,0.809097,7.534711,43.059830,131.022316,6.277783
0.020000,5.788205,108.022530,0.978063,8.448330,45.680977,131.057366,6.276652
0.020000,5.976489,108.021181,1.166352,9.414430,48.304981,131.200192,6.275395
0.020000,6.185150,108.019410,1.375021,10.433446,50.950778,132.289866,6.274004
0.020000,6.415238,108.017122,1.605120,11.504973,53.576383,131.280250,6.272476
0.020000,6.667809,108.014205,1.857708,12.629391,56.220911,132.226372,6.270803
0.020000,6.943921,108.010534,2.133844,13.806780,58.869449,132.426901,6.268980
0.020000,7.244630,108.005965,2.434588,15.037184,61.520196,132.537353,6.267002
0.020000,7.571002,108.000333,2.761009,16.321052,64.193392,133.659811,6.264864
0.020000,7.924096,107.993457,3.114170,17.658045,66.849649,132.812847,6.262562
0.020000,8.304979,107.985129,3.495144,19.048726,69.534040,134.219524,6.260090
0.020000,8.714721,107.975121,3.905008,20.493172,72.222326,134.414335,6.257445
0.020000,9.154388,107.963180,4.344837,21.991479,74.915341,134.650719,6.254622
0.020000,9.625058,107.949025,4.815720,23.544140,77.633042,135.885048,6.251620
0.020000,10.127804,107.932348,5.318742,25.151104,80.348187,135.757285,6.248435
0.020000,10.663704,107.912812,5.854998,26.812819,83.085750,136.878145,6.245064
0.020000,11.233840,107.890050,6.425589,28.529509,85.834502,137.437573,6.241506
0.020000,11.839298,107.863662,7.031621,30.301620,88.605538,138.551808,6.237760
0.020000,12.481162,107.833217,7.674207,32.129318,91.384941,138.970138,6.233824
0.020000,13.160525,107.798249,8.354469,34.013076,94.187883,140.147139,6.229700
0.020000,13.877953,107.758287,9.073009,35.927010,95.696674,75.439533,6.225391
0.020000,14.633492,107.712869,9.829912,37.845146,95.906810,10.506812,6.220905
0.020000,15.427187,107.661514,10.625267,39.767756,96.130521,11.185522,6.216249
0.020000,16.259088,107.603729,11.459172,41.695248,96.374609,12.204442,6.211434
0.020000,17.129239,107.539009,12.331727,43.627729,96.624029,12.470961,6.206467
0.020000,18.037690,107.466837,13.243040,45.565672,96.897169,13.657001,6.201359
0.020000,18.984488,107.386686,14.193225,47.509260,97.179403,14.111711,6.196120
0.020000,19.969683,107.298023,15.182402,49.458830,97.478470,14.953350,6.190760
0.020000,20.993324,107.200310,16.210696,51.414690,97.793022,15.727587,6.185293
0.020000,22.055460,107.093007,17.278238,53.377137,98.122336,16.465721,6.179728
0.020000,23.156142,106.975570,18.385168,55.346458,98.466052,17.185778,6.174079
0.020000,24.295422,106.847461,19.531627,57.322967,98.825428,17.968803,6.168359
0.020000,25.473351,106.708144,20.717766,59.306965,99.199905,18.723889,6.162582
0.020000,26.689983,106.557088,21.943740,61.298687,99.586114,19.310421,6.156761
0.020000,27.945374,106.393776,23.209709,63.298473,99.989324,20.160520,6.150912
0.020000,29.239583,106.217698,24.515840,65.306555,100.404064,20.737008,6.145048
