dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,646.710104,196.268111,0.000571,0.057059,2.852930,142.646516,3.090123
0.020000,646.709912,196.268121,0.000762,0.009595,-2.373191,-261.306085,3.090106
0.020000,646.709481,196.268143,0.001194,0.021587,0.599633,148.641228,3.090066
0.020000,646.708715,196.268183,0.001962,0.038375,0.839373,11.986999,3.089997
0.020000,646.707517,196.268245,0.003161,0.059954,1.078939,11.978306,3.089888
0.020000,646.705793,196.268334,0.004887,0.086318,1.318221,11.964062,3.089731
0.020000,646.703447,196.268456,0.007236,0.117460,1.557078,11.942867,3.089517
0.020000,646.700384,196.268616,0.010304,0.153367,1.795344,11.913309,3.089238
0.020000,646.680261,196.269676,0.030455,1.007553,42.709332,2045.699407,3.088885
0.020000,646.618498,196.272948,0.092305,3.092492,104.246934,3076.880105,3.088450
0.020000,646.543776,196.276942,0.167132,3.741390,32.444922,-3590.100635,3.087924
0.020000,646.454851,196.281747,0.256188,4.452778,35.569372,156.222542,3.087298
0.020000,646.350503,196.287457,0.360692,5.225198,38.621003,152.581519,3.086563
0.020000,646.229498,196.294174,0.481883,6.059561,41.718135,154.856604,3.085713
0.020000,646.090603,196.302012,0.620998,6.955766,44.810262,154.606367,3.084737
0.020000,645.932599,196.311093,0.779264,7.913278,47.875613,153.267562,3.083628
0.020000,645.754259,196.321554,0.957910,8.932307,50.951469,153.792758,3.082378
0.020000,645.554357,196.333545,1.158172,10.013088,54.039011,154.377105,3.080979
0.020000,645.331678,196.347233,1.381271,11.154953,57.093285,152.713689,3.079423
0.020000,645.085007,196.362801,1.628432,12.358068,60.155758,153.123655,3.077703
0.020000,644.813131,196.380453,1.900881,13.622452,63.219196,153.171895,3.075810
0.020000,644.514837,196.400415,2.199842,14.948055,66.280121,153.046297,3.073737
0.020000,644.188927,196.422934,2.526529,16.334342,69.314366,151.712216,3.071478
0.020000,643.834200,196.448283,2.882161,17.781575,72.361649,152.364152,3.069026
0.020000,643.449464,196.476765,3.267950,19.289454,75.393969,151.616032,3.066374
0.020000,643.033537,196.508707,3.685101,20.857552,78.404857,150.544363,3.063516
0.020000,642.585242,196.544472,4.134821,22.486009,81.422875,150.900928,3.060447
0.020000,642.103405,196.584455,4.618313,24.174616,84.430354,150.373932,3.057160
0.020000,641.586872,196.629085,5.136772,25.922915,87.414928,149.228715,3.053652
0.020000,641.034498,196.678827,5.691380,27.730422,90.375386,148.022901,3.049917
0.020000,640.445140,196.734189,6.283333,29.597659,93.361806,149.320968,3.045951
0.020000,639.817682,196.795714,6.913800,31.523342,96.284168,146.118134,3.041753
0.020000,639.151017,196.863991,7.583952,33.507611,99.213431,146.463129,3.037318
0.020000,638.444051,196.939651,8.294956,35.550172,102.128078,145.732350,3.032644
0.020000,637.695715,197.023368,9.047959,37.650174,105.000118,143.602000,3.027732
0.020000,636.904957,197.115862,9.844109,39.807458,107.864178,143.202991,3.022580
0.020000,636.071357,197.217824,10.683922,41.990660,109.160111,64.796685,3.017193
0.020000,635.195113,197.329896,11.567303,44.169065,108.920246,-11.993246,3.011581
0.020000,634.276457,197.452739,12.494137,46.341680,108.630763,-14.474160,3.005753
0.020000,633.315626,197.587026,13.464305,48.508444,108.338176,-14.629364,2.999720
0.020000,632.312878,197.733445,14.477687,50.669088,108.032200,-15.298785,2.993493
0.020000,631.268492,197.892688,15.534144,52.822839,107.687551,-17.232456,2.987085
0.020000,630.182760,198.065457,16.633536,54.969579,107.336989,-17.528114,2.980509
0.020000,629.055997,198.252451,17.775710,57.108704,106.956237,-19.037607,2.973778
0.020000,627.888531,198.454368,18.960509,59.239971,106.563367,-19.643471,2.966907
0.020000,626.680708,198.671902,20.187764,61.362769,106.139924,-21.172177,2.959911
0.020000,625.432893,198.905735,21.457300,63.476782,105.700643,-21.964058,2.952806
0.020000,624.145461,199.156536,22.768933,65.581654,105.243607,-22.851765,2.945609
0.020000,622.818806,199.424956,24.122470,67.676852,104.759897,-24.185517,2.938337
0.020000,621.453331,199.711623,25.517712,69.762095,104.262130,-24.888358,2.931008
0.020000,620.049452,200.017141,26.954451,71.836927,103.741588,-26.027075,2.923642
0.020000,618.607592,200.342082,28.432472,73.901071,103.207236,-26.717635,2.916257
0.020000,617.128183,200.686985,29.951554,75.954089,102.650863,-27.818637,2.908875
0.020000,615.611661,201.052349,31.511468,77.995699,102.080529,-28.516677,2.901515
0.020000,614.058462,201.438631,33.111980,80.025606,101.495332,-29.259853,2.894199
0.020000,612.469026,201.846242,34.752849,82.043474,100.893390,-30.097103,2.886949
0.020000,610.843788,202.275541,36.433831,84.049061,100.279347,-30.702138,2.879787
0.020000,609.183176,202.726835,38.154673,86.042110,99.652491,-31.342845,2.872736
0.020000,607.487611,203.200370,39.915120,88.022371,99.013051,-31.971984,2.865820
0.020000,605.757502,203.696331,41.714913,89.989647,98.363766,-32.464234,2.859061
0.020000,603.993244,204.214839,43.553788,91.943718,97.703548,-33.010912,2.852485
0.020000,602.195213,204.755945,45.431476,93.884400,97.034104,-33.472193,2.846114
0.020000,600.363765,205.319627,47.347706,95.811512,96.355612,-33.924616,2.839975
0.020000,598.499233,205.905788,49.302204,97.724892,95.668991,-34.331016,2.834091
0.020000,596.601926,206.514251,51.294690,99.624336,94.972217,-34.838721,2.828489
0.020000,594.672119,207.144756,53.324885,101.509722,94.269293,-35.146187,2.823193
0.020000,592.710062,207.796959,55.392501,103.380809,93.554325,-35.748404,2.818231
0.020000,590.716520,208.470235,57.496666,105.208244,91.371764,-109.128053,2.813628
0.020000,588.692766,209.163672,59.635927,106.963033,87.739466,-181.614886,2.809414
0.020000,586.640018,209.876247,61.808836,108.645476,84.122116,-180.867545,2.805617
0.020000,584.559442,210.606832,64.013956,110.256000,80.526237,-179.793914,2.802263
0.020000,582.452146,211.354194,66.249855,111.794953,76.947646,-178.929579,2.799379
0.020000,580.319189,212.116997,68.515109,113.262671,73.385869,-178.088811,2.796990
0.020000,578.161576,212.893804,70.808300,114.659558,69.844369,-177.075014,2.795122
0.020000,575.980261,213.683082,73.128018,115.985910,66.317589,-176.338993,2.793799
