dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,647.276020,207.253544,0.000571,0.057059,2.852930,142.646516,3.090123
0.020000,647.276020,207.253544,0.002853,0.171176,5.705861,142.646516,3.090106
0.020000,647.276020,207.253544,0.007988,0.342352,8.558791,142.646516,3.090066
0.020000,647.276020,207.253544,0.017118,0.570586,11.411721,142.646516,3.089997
0.020000,647.276020,207.253544,0.031382,0.855879,14.264652,142.646516,3.089888
0.020000,647.276020,207.253544,0.051923,1.198231,17.117582,142.646516,3.089731
0.020000,647.276020,207.253544,0.079882,1.597641,19.970512,142.646516,3.089517
0.020000,647.276020,207.253544,0.116400,2.054110,22.823443,142.646516,3.089238
0.020000,647.259772,207.254400,0.162617,2.567637,25.676373,142.646516,3.088885
0.020000,647.202791,207.257419,0.219676,3.138223,28.529303,142.646516,3.088450
0.020000,647.133852,207.261104,0.288717,3.765868,31.382234,142.646516,3.087924
0.020000,647.051804,207.265538,0.370881,4.450571,34.235164,142.646516,3.087298
0.020000,646.955520,207.270806,0.467310,5.192333,37.088094,142.646516,3.086563
0.020000,646.843859,207.277004,0.579145,5.991154,39.941025,142.646516,3.085713
0.020000,646.715680,207.284237,0.707527,6.847033,42.793955,142.646516,3.084737
0.020000,646.569850,207.292619,0.853597,7.759970,45.646885,142.646516,3.083628
0.020000,646.405236,207.302274,1.018496,8.729967,48.499815,142.646516,3.082378
0.020000,646.220695,207.313344,1.203366,9.757022,51.352746,142.646516,3.080979
0.020000,646.015101,207.325982,1.409348,10.841135,54.205676,142.646516,3.079423
0.020000,645.787321,207.340358,1.637582,11.982307,57.058606,142.646516,3.077703
0.020000,645.536223,207.356661,1.889210,13.180538,59.911537,142.646516,3.075810
0.020000,645.260674,207.375101,2.165374,14.435827,62.764467,142.646516,3.073737
0.020000,644.959553,207.395907,2.467214,15.748175,65.617397,142.646516,3.071478
0.020000,644.631731,207.419334,2.795872,17.117582,68.470328,142.646516,3.069026
0.020000,644.276087,207.445661,3.152488,18.544047,71.323258,142.646516,3.066374
0.020000,643.891504,207.475197,3.538204,20.027571,74.176188,142.646516,3.063516
0.020000,643.476866,207.508277,3.954161,21.568153,77.029119,142.646516,3.060447
0.020000,643.031058,207.545270,4.401501,23.165794,79.882049,142.646516,3.057160
0.020000,642.552975,207.586577,4.881364,24.820494,82.734979,142.646516,3.053652
0.020000,642.041521,207.632635,5.394891,26.532252,85.587910,142.646516,3.049917
0.020000,641.495590,207.683917,5.943224,28.301069,88.440840,142.646516,3.045951
0.020000,640.914099,207.740936,6.527505,30.126944,91.293770,142.646516,3.041753
0.020000,640.295966,207.804242,7.148873,32.009878,94.146701,142.646516,3.037318
0.020000,639.640112,207.874432,7.808470,33.949871,96.999631,142.646516,3.032644
0.020000,638.945478,207.952142,8.507438,35.946922,99.852561,142.646516,3.027732
0.020000,638.211007,208.038052,9.246918,38.001032,102.705492,142.646516,3.022580
0.020000,637.436223,208.132820,10.027479,40.055142,102.705492,0.000000,3.017193
0.020000,636.621218,208.237060,10.849123,42.109252,102.705492,-0.000000,3.011581
0.020000,635.766104,208.351406,11.711850,44.163361,102.705492,0.000000,3.005753
0.020000,634.870998,208.476508,12.615658,46.217471,102.705492,0.000000,2.999720
0.020000,633.936023,208.613031,13.560548,48.271581,102.705492,-0.000000,2.993493
0.020000,632.961318,208.761650,14.546521,50.325691,102.705492,0.000000,2.987085
0.020000,631.947026,208.923052,15.573576,52.379801,102.705492,-0.000000,2.980509
0.020000,630.893304,209.097924,16.641713,54.433911,102.705492,0.000000,2.973778
0.020000,629.800314,209.286962,17.750932,56.488020,102.705492,0.000000,2.966907
0.020000,628.668229,209.490856,18.901234,58.542130,102.705492,0.000000,2.959911
0.020000,627.497232,209.710294,20.092618,60.596240,102.705492,-0.000000,2.952806
0.020000,626.287510,209.945958,21.325084,62.650350,102.705492,0.000000,2.945609
