dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,647.841936,218.238977,0.000571,0.057059,2.852930,142.646516,3.090123
0.020000,647.842127,218.238967,0.000762,0.009595,-2.373191,-261.306085,3.090106
0.020000,647.842559,218.238945,0.001194,0.021587,0.599633,148.641228,3.090066
0.020000,647.843325,218.238906,0.001962,0.038375,0.839373,11.986999,3.089997
0.020000,647.844523,218.238844,0.003161,0.059954,1.078939,11.978306,3.089888
0.020000,647.846247,218.238754,0.004887,0.086318,1.318221,11.964062,3.089731
0.020000,647.848593,218.238632,0.007236,0.117460,1.557078,11.942867,3.089517
0.020000,647.851656,218.238472,0.010304,0.153367,1.795344,11.913309,3.089238
0.020000,647.839283,218.239125,0.022694,0.619492,23.306254,1075.545519,3.088885
0.020000,647.787084,218.241890,0.074966,2.613620,99.706406,3820.007582,3.088450
0.020000,647.723928,218.245266,0.138212,3.162327,27.435373,-3613.551647,3.087924
0.020000,647.648757,218.249328,0.213493,3.764028,30.085040,132.483361,3.087298
0.020000,647.560538,218.254155,0.301844,4.417550,32.676108,129.553400,3.086563
0.020000,647.458220,218.259835,0.404319,5.123733,35.309157,131.652456,3.085713
0.020000,647.340756,218.266463,0.521970,5.882576,37.942128,131.648529,3.084737
0.020000,647.207102,218.274144,0.655845,6.693722,40.557295,130.758342,3.083628
0.020000,647.056212,218.282995,0.806994,7.557461,43.186944,131.482475,3.082378
0.020000,646.887034,218.293143,0.976476,8.474119,45.832930,132.299271,3.080979
0.020000,646.698524,218.304731,1.165342,9.443282,48.458130,131.260021,3.079423
0.020000,646.489634,218.317915,1.374647,10.465255,51.098641,132.025535,3.077703
0.020000,646.259315,218.332869,1.605452,11.540244,53.749457,132.540818,3.075810
0.020000,646.006512,218.349786,1.858820,12.668421,56.408857,132.969968,3.073737
0.020000,645.730179,218.368880,2.135812,13.849575,59.057677,132.441019,3.071478
0.020000,645.429262,218.390384,2.437496,15.084195,61.731031,133.667693,3.069026
0.020000,645.102709,218.414558,2.764942,16.372331,64.406771,133.787021,3.066374
0.020000,644.749470,218.441686,3.119221,17.713953,67.081109,133.716895,3.063516
0.020000,644.368490,218.472081,3.501412,19.109556,69.780166,134.952845,3.060447
0.020000,643.958711,218.506085,3.912600,20.559376,72.490989,135.541144,3.057160
0.020000,643.519079,218.544070,4.353870,22.063481,75.205255,135.713281,3.053652
0.020000,643.048544,218.586443,4.826309,23.621966,77.924268,135.950682,3.049917
0.020000,642.546039,218.633646,5.331026,25.235831,80.693258,138.449473,3.045951
0.020000,642.010516,218.686157,5.869117,26.904597,83.438266,137.250435,3.041753
0.020000,641.440914,218.744493,6.441698,28.629050,86.222673,139.220336,3.037318
0.020000,640.836174,218.809213,7.049892,30.409676,89.031293,140.430990,3.032644
0.020000,640.195241,218.880915,7.694823,32.246545,91.843470,140.608872,3.027732
0.020000,639.517057,218.960242,8.377631,34.140391,94.692287,142.440838,3.022580
0.020000,638.801089,219.047816,9.098935,36.065201,96.240485,77.409873,3.017193
0.020000,638.047322,219.144224,9.858842,37.995381,96.508996,13.425586,3.011581
0.020000,637.255752,219.250073,10.657458,39.930796,96.770733,13.086852,3.005753
0.020000,636.426370,219.365990,11.494901,41.872127,97.066592,14.792941,2.999720
0.020000,635.559169,219.492617,12.371299,43.819899,97.388598,16.100295,2.993493
0.020000,634.654145,219.630613,13.286783,45.774210,97.715531,16.346660,2.987085
0.020000,633.711293,219.780646,14.241498,47.735734,98.076190,18.032945,2.980509
0.020000,632.730611,219.943398,15.235592,49.704731,98.449853,18.683167,2.973778
0.020000,631.712097,220.119556,16.269228,51.681777,98.852307,20.122691,2.966907
0.020000,630.655751,220.309810,17.342570,53.667124,99.267363,20.752778,2.959911
0.020000,629.561572,220.514854,18.455796,55.661274,99.707512,22.007441,2.952806
0.020000,628.429558,220.735380,19.609090,57.664686,100.170558,23.152318,2.945609
0.020000,627.259710,220.972075,20.802642,59.677643,100.647875,23.865840,2.938337
0.020000,626.052025,221.225619,22.036655,61.700634,101.149555,25.084010,2.931008
0.020000,624.806500,221.496678,23.311334,63.733969,101.666725,25.858502,2.923642
0.020000,623.523125,221.785905,24.626896,65.778087,102.205938,26.960645,2.916257
