dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.830959,218.253535,0.000564,0.056399,2.819952,140.997587,6.281913
0.020000,4.830709,218.253536,0.000814,0.012514,-2.194243,-250.709720,6.281936
0.020000,4.830146,218.253536,0.001377,0.028156,0.782095,148.816895,6.281987
0.020000,4.829145,218.253537,0.002378,0.050052,1.094818,15.636154,6.282078
0.020000,4.827581,218.253539,0.003942,0.078200,1.407365,15.627324,6.282220
0.020000,4.825329,218.253541,0.006194,0.112592,1.719622,15.612845,6.282425
0.020000,4.822264,218.253543,0.009259,0.153221,2.031447,15.591277,6.282703
0.020000,4.818263,218.253544,0.013260,0.200075,2.342670,15.561151,6.283067
0.020000,4.847148,218.253549,0.042145,1.444260,62.209285,2993.330748,0.000342
0.020000,4.897298,218.253581,0.092296,2.507518,53.162893,-452.319596,0.000910
0.020000,4.957982,218.253657,0.152980,3.034190,26.333593,-1341.464993,0.001597
0.020000,5.030203,218.253802,0.225200,3.611040,28.842493,125.444967,0.002415
0.020000,5.114971,218.254047,0.309969,4.238447,31.370376,126.394178,0.003374
0.020000,5.213287,218.254433,0.408285,4.915794,33.867342,124.848270,0.004485
0.020000,5.326156,218.255012,0.521156,5.643557,36.388119,126.038842,0.005760
0.020000,5.454587,218.255844,0.649590,6.421680,38.906190,125.903553,0.007210
0.020000,5.599584,218.257009,0.794592,7.250098,41.420904,125.735707,0.008845
0.020000,5.762167,218.258596,0.957182,8.129508,43.970468,127.478208,0.010677
0.020000,5.943328,218.260715,1.138356,9.058691,46.459146,124.433888,0.012715
0.020000,6.144095,218.263494,1.339142,10.039311,49.030992,128.592340,0.014971
0.020000,6.365469,218.267083,1.560545,11.070139,51.541410,125.520893,0.017454
0.020000,6.608463,218.271656,1.803582,12.151834,54.084748,127.166903,0.020175
0.020000,6.874097,218.277411,2.069279,13.284863,56.651479,128.336548,0.023144
0.020000,7.163380,218.284574,2.358650,14.468571,59.185397,126.695885,0.026370
0.020000,7.477336,218.293404,2.672730,15.703983,61.770572,129.258736,0.029862
0.020000,7.816977,218.304190,3.012542,16.990601,64.330931,128.017952,0.033630
0.020000,8.183322,218.317258,3.379120,18.328908,66.915344,129.220652,0.037682
0.020000,8.577403,218.332973,3.773514,19.719710,69.540109,131.238233,0.042025
0.020000,9.000231,218.351737,4.196758,21.162204,72.124696,129.229357,0.046668
0.020000,9.452836,218.373997,4.649910,22.657601,74.769845,132.257463,0.051617
0.020000,9.936242,218.400248,5.134029,24.205917,77.415790,132.297266,0.056878
0.020000,10.451477,218.431029,5.650182,25.807677,80.088001,133.610527,0.062457
0.020000,10.999568,218.466931,6.199448,27.463312,82.781747,134.687286,0.068359
0.020000,11.581548,218.508600,6.782918,29.173475,85.508136,136.319475,0.074587
0.020000,12.198441,218.556734,7.401686,30.938385,88.245535,136.869965,0.081143
0.020000,12.851286,218.612091,8.056874,32.759391,91.050290,140.237739,0.088028
0.020000,13.540606,218.675437,8.749099,34.611266,92.593767,77.173823,0.095239
0.020000,14.266428,218.747534,9.478493,36.469693,92.921325,16.377909,0.102761
0.020000,15.028772,218.829171,10.245195,38.335117,93.271203,17.493904,0.110584
0.020000,15.827659,218.921164,11.049361,40.208300,93.659139,19.396785,0.118692
0.020000,16.663112,219.024353,11.891163,42.090078,94.088892,21.487688,0.127071
0.020000,17.535147,219.139601,12.770780,43.980886,94.540430,22.576883,0.135703
0.020000,18.443783,219.267786,13.688414,45.881671,95.039248,24.940912,0.144571
0.020000,19.389034,219.409802,14.644273,47.792980,95.565424,26.308795,0.153655
0.020000,20.370916,219.566555,15.638589,49.715772,96.139616,28.709602,0.162935
0.020000,21.389442,219.738958,16.671603,51.650715,96.747134,30.375910,0.172388
0.020000,22.444622,219.927926,17.743570,53.598336,97.381084,31.697466,0.181992
0.020000,23.536469,220.134375,18.854764,55.559692,98.067759,34.333787,0.191721
0.020000,24.664995,220.359213,20.005469,57.535265,98.778662,35.545142,0.201550
0.020000,25.830211,220.603338,21.195984,59.525771,99.525311,37.332461,0.211451
0.020000,27.032134,220.867632,22.426622,61.531886,100.305760,39.022416,0.221396
0.020000,28.270780,221.152957,23.697706,63.554180,101.114690,40.446507,0.231356
0.020000,29.546171,221.460147,25.009571,65.593251,101.953567,41.943869,0.241300
0.020000,30.858338,221.790002,26.362562,67.649560,102.815413,43.092301,0.251197
0.020000,32.207316,222.143287,27.757034,69.723596,103.701822,44.320434,0.261015
0.020000,33.593153,222.520722,29.193349,71.815782,104.609287,45.373231,0.270720
0.020000,35.015911,222.922974,30.671878,73.926447,105.533272,46.199273,0.280279
0.020000,36.475668,223.350658,32.192997,76.055924,106.473843,47.028561,0.289658
0.020000,37.972518,223.804325,33.757086,78.204462,107.426895,47.652575,0.298822
0.020000,39.506584,224.284455,35.364532,80.372297,108.391740,48.242252,0.307736
0.020000,41.078011,224.791459,37.015724,82.559615,109.365910,48.708492,0.316365
0.020000,42.686977,225.325663,38.711055,84.766538,110.346155,49.012260,0.324673
0.020000,44.333697,225.887308,40.450920,86.993261,111.336165,49.500486,0.332624
0.020000,46.018424,226.476542,42.235718,89.239891,112.331483,49.765897,0.340181
0.020000,47.741458,227.093415,44.065848,91.506493,113.330088,49.930298,0.347309
0.020000,49.503148,227.737868,45.941714,93.793310,114.340839,50.537544,0.353971
0.020000,51.303902,228.409735,47.863723,96.100440,115.356529,50.784470,0.360130
0.020000,53.143674,229.108530,49.831736,98.400660,115.010973,-17.277785,0.365747
0.020000,55.021971,229.833433,51.845063,100.666354,113.284696,-86.313873,0.370782
0.020000,56.938364,230.583465,53.903002,102.896911,111.527875,-87.841010,0.375197
0.020000,58.892488,231.357491,56.004838,105.091828,109.745827,-89.102409,0.378954
0.020000,60.884047,232.154214,58.149850,107.250577,107.937483,-90.417211,0.382016
0.020000,62.912814,232.972179,60.337305,109.372760,106.109150,-91.416639,0.384347
0.020000,64.978630,233.809767,62.566464,111.457960,104.259986,-92.458228,0.385912
0.020000,67.081407,234.665198,64.836581,113.505856,102.394792,-93.259694,0.386676
0.020000,69.221122,235.536524,67.146904,115.516136,100.514001,-94.039545,0.386605
0.020000,71.397819,236.421630,69.496675,117.488548,98.620600,-94.670020,0.385665
0.020000,73.611600,237.318235,71.885132,119.422856,96.715406,-95.259711,0.383823
0.020000,75.862625,238.223881,74.311509,121.318840,94.799181,-95.811263,0.381046
0.020000,78.151097,239.135939,76.775033,123.176238,92.869925,-96.462794,0.377302
