dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.816962,207.253544,0.000564,0.056399,2.819952,140.997587,6.281913
0.020000,4.816962,207.253544,0.002820,0.169197,5.639903,140.997587,6.281936
0.020000,4.816962,207.253544,0.007896,0.338394,8.459855,140.997587,6.281987
0.020000,4.816962,207.253544,0.016920,0.563990,11.279807,140.997587,6.282078
0.020000,4.816962,207.253544,0.031019,0.845986,14.099759,140.997587,6.282220
0.020000,4.816962,207.253544,0.051323,1.184380,16.919710,140.997587,6.282425
0.020000,4.816962,207.253544,0.078959,1.579173,19.739662,140.997587,6.282703
0.020000,4.816962,207.253544,0.115054,2.030365,22.559614,140.997587,6.283067
0.020000,4.850910,207.253550,0.160737,2.537957,25.379566,140.997587,0.000342
0.020000,4.907310,207.253585,0.217136,3.101947,28.199517,140.997587,0.000910
0.020000,4.975552,207.253671,0.285379,3.722336,31.019469,140.997587,0.001597
0.020000,5.056764,207.253834,0.366594,4.399125,33.839421,140.997587,0.002415
0.020000,5.152081,207.254110,0.461908,5.132312,36.659373,140.997587,0.003374
0.020000,5.262623,207.254544,0.572450,5.921899,39.479324,140.997587,0.004485
0.020000,5.389519,207.255194,0.699348,6.767884,42.299276,140.997587,0.005760
0.020000,5.533897,207.256130,0.843730,7.670269,45.119228,140.997587,0.007210
0.020000,5.696881,207.257439,1.006723,8.629052,47.939180,140.997587,0.008845
0.020000,5.879609,207.259223,1.189456,9.644235,50.759131,140.997587,0.010677
0.020000,6.083190,207.261604,1.393056,10.715817,53.579083,140.997587,0.012715
0.020000,6.308768,207.264727,1.618652,11.843797,56.399035,140.997587,0.014971
0.020000,6.557456,207.268759,1.867372,13.028177,59.218987,140.997587,0.017454
0.020000,6.830376,207.273895,2.140343,14.268956,62.038938,140.997587,0.020175
0.020000,7.128660,207.280356,2.438694,15.566134,64.858890,140.997587,0.023144
0.020000,7.453416,207.288398,2.763553,16.919710,67.678842,140.997587,0.026370
0.020000,7.805773,207.298308,3.116047,18.329686,70.498794,140.997587,0.029862
0.020000,8.186838,207.310410,3.497304,19.796061,73.318745,140.997587,0.033630
0.020000,8.597721,207.325067,3.908453,21.318835,76.138697,140.997587,0.037682
0.020000,9.039542,207.342685,4.350622,22.898008,78.958649,140.997587,0.042025
0.020000,9.513390,207.363713,4.824937,24.533580,81.778601,140.997587,0.046668
0.020000,10.020369,207.388648,5.332529,26.225551,84.598552,140.997587,0.051617
0.020000,10.561565,207.418036,5.874523,27.973921,87.418504,140.997587,0.056878
0.020000,11.138062,207.452477,6.452050,29.778690,90.238456,140.997587,0.062457
0.020000,11.750932,207.492623,7.066235,31.639859,93.058408,140.997587,0.068359
0.020000,12.401240,207.539183,7.718208,33.557426,95.878359,140.997587,0.074587
0.020000,13.090030,207.592927,8.409096,35.531392,98.698311,140.997587,0.081143
0.020000,13.818348,207.654683,9.140028,37.561757,101.518263,140.997587,0.088028
0.020000,14.586648,207.725286,9.911566,39.592122,101.518263,-0.000000,0.095239
0.020000,15.394816,207.805562,10.723712,41.622488,101.518263,-0.000000,0.102761
0.020000,16.242719,207.896361,11.576466,43.652853,101.518263,0.000000,0.110584
0.020000,17.130212,207.998556,12.469827,45.683218,101.518263,0.000000,0.118692
0.020000,18.057134,208.113043,13.403795,47.713583,101.518263,-0.000000,0.127071
0.020000,19.023305,208.240730,14.378370,49.743949,101.518263,-0.000000,0.135703
0.020000,20.028531,208.382540,15.393553,51.774314,101.518263,0.000000,0.144571
0.020000,21.072598,208.539401,16.449343,53.804679,101.518263,0.000000,0.153655
0.020000,22.155281,208.712245,17.545740,55.835045,101.518263,0.000000,0.162935
0.020000,23.276336,208.902001,18.682744,57.865410,101.518263,-0.000000,0.172388
0.020000,24.435501,209.109590,19.860356,59.895775,101.518263,0.000000,0.181992
0.020000,25.632506,209.335920,21.078575,61.926140,101.518263,0.000000,0.191721
0.020000,26.867064,209.581880,22.337402,63.956506,101.518263,0.000000,0.201550
0.020000,28.138880,209.848337,23.636836,65.986871,101.518263,-0.000000,0.211451
0.020000,29.447648,210.136123,24.976877,68.017236,101.518263,-0.000000,0.221396
0.020000,30.793057,210.446038,26.357525,70.047601,101.518263,0.000000,0.231356
0.020000,32.174793,210.778838,27.778781,72.077967,101.518263,-0.000000,0.241300
0.020000,33.592541,211.135232,29.240644,74.108332,101.518263,0.000000,0.251197
0.020000,35.045989,211.515873,30.743114,76.138697,101.518263,-0.000000,0.261015
0.020000,36.534831,211.921357,32.286191,78.169062,101.518263,0.000000,0.270720
0.020000,38.058774,212.352213,33.869876,80.199428,101.518263,0.000000,0.280279
0.020000,39.617537,212.808901,35.494169,82.229793,101.518263,-0.000000,0.289658
0.020000,41.210860,213.291801,37.159068,84.260158,101.518263,0.000000,0.298822
0.020000,42.838505,213.801216,38.864575,86.290523,101.518263,0.000000,0.307736
0.020000,44.500265,214.337361,40.610689,88.320889,101.518263,-0.000000,0.316365
0.020000,46.195963,214.900356,42.397410,90.351254,101.518263,0.000000,0.324673
0.020000,47.925460,215.490230,44.224739,92.381619,101.518263,-0.000000,0.332624
0.020000,49.688662,216.106906,46.092675,94.411984,101.518263,0.000000,0.340181
0.020000,51.485517,216.750203,48.001219,96.442350,101.518263,0.000000,0.347309
0.020000,53.316029,217.419829,49.950369,98.472715,101.518263,-0.000000,0.353971
0.020000,55.180257,218.115373,51.940127,100.503080,101.518263,0.000000,0.360130
0.020000,57.077789,218.836104,53.969928,102.477046,98.698311,-140.997587,0.365747
0.020000,59.007760,219.580947,56.038645,104.394614,95.878359,-140.997587,0.370782
0.020000,60.969378,220.348675,58.145149,106.255782,93.058408,-140.997587,0.375197
0.020000,62.961925,221.137917,60.288312,108.060551,90.238456,-140.997587,0.378954
0.020000,64.984757,221.947149,62.467007,109.808921,87.418504,-140.997587,0.382016
0.020000,67.037307,222.774701,64.680105,111.500892,84.598552,-140.997587,0.384347
0.020000,69.119076,223.618756,66.926479,113.136464,81.778601,-140.997587,0.385912
0.020000,71.229637,224.477353,69.205000,114.715637,78.958649,-140.997587,0.386676
0.020000,73.368629,225.348384,71.514540,116.238411,76.138697,-140.997587,0.386605
0.020000,75.535748,226.229597,73.853972,117.704786,73.318745,-140.997587,0.385665
0.020000,77.730749,227.118596,76.222168,119.114762,70.498794,-140.997587,0.383823
0.020000,79.953433,228.012843,78.617999,120.468338,67.678842,-140.997587,0.381046
0.020000,82.203643,228.909656,81.040337,121.765516,64.858890,-140.997587,0.377302
0.020000,84.481252,229.806211,83.488055,123.006295,62.038938,-140.997587,0.372558
0.020000,86.786154,230.699544,85.960025,124.190675,59.218987,-140.997587,0.366784
0.020000,89.118252,231.586553,88.455118,125.318655,56.399035,-140.997587,0.359949
0.020000,91.477445,232.463998,90.972207,126.390237,53.579083,-140.997587,0.352024
0.020000,93.863614,233.328509,93.510164,127.405420,50.759131,-140.997587,0.342982
0.020000,96.276603,234.176589,96.067860,128.364203,47.939180,-140.997587,0.332796
0.020000,98.716204,235.004619,98.644168,129.266588,45.119228,-140.997587,0.321444
0.020000,101.182140,235.808875,101.237960,130.112573,42.299276,-140.997587,0.308907
0.020000,103.674039,236.585535,103.848107,130.902160,39.479324,-140.997587,0.295170
0.020000,106.191418,237.330698,106.473482,131.635347,36.659373,-140.997587,0.280222
0.020000,108.733659,238.040405,109.112957,132.312136,33.839421,-140.997587,0.264060
0.020000,111.299989,238.710663,111.765403,132.932525,31.019469,-140.997587,0.246687
0.020000,113.889457,239.337476,114.429694,133.496516,28.199517,-140.997587,0.228117
0.020000,116.500915,239.916883,117.104700,134.004107,25.379566,-140.997587,0.208370
0.020000,119.133002,240.444991,119.789294,134.455299,22.559614,-140.997587,0.187481
0.020000,121.784130,240.918029,122.482348,134.850092,19.739662,-140.997587,0.165493
0.020000,124.353174,241.364146,125.182734,135.188487,16.919710,-140.997587,0.180020
0.020000,127.012149,241.869455,127.889323,135.470482,14.099759,-140.997587,0.195241
0.020000,129.668649,242.413545,130.600989,135.696078,11.279807,-140.997587,0.208465
0.020000,132.322160,242.990916,133.316603,135.865275,8.459855,-140.997587,0.219698
0.020000,134.972372,243.596066,136.035036,135.978073,5.639903,-140.997587,0.228954
0.020000,137.619137,244.223509,138.755162,136.034472,2.819952,-140.997587,0.236246
0.020000,140.261940,244.867667,141.475339,135.983279,-2.559641,-268.979625,0.241587
0.020000,142.900363,245.522990,144.193929,135.875687,-5.379593,-140.997587,0.244992
0.020000,145.534546,246.184090,146.909803,135.711697,-8.199544,-140.997587,0.246472
0.020000,148.164654,246.845631,149.621833,135.491307,-11.019496,-140.997587,0.246039
0.020000,150.790853,247.502323,152.328891,135.214518,-13.839448,-140.997587,0.243702
0.020000,153.413272,248.148918,155.029849,134.881330,-16.659399,-140.997587,0.239466
0.020000,156.031978,248.780217,157.723580,134.491743,-19.479351,-140.997587,0.233334
0.020000,158.646948,249.391064,160.408955,134.045757,-22.299303,-140.997587,0.225309
0.020000,161.258034,249.976356,163.084846,133.543371,-25.119255,-140.997587,0.215393
0.020000,163.864937,250.531052,165.750126,132.984587,-27.939206,-140.997587,0.203590
0.020000,166.467179,251.050187,168.403666,132.369404,-30.759158,-140.997587,0.189907
0.020000,169.064071,251.528894,171.044338,131.697822,-33.579110,-140.997587,0.174354
0.020000,171.654688,251.962436,173.671015,130.969841,-36.399062,-140.997587,0.156953
0.020000,174.237844,252.346243,176.282568,130.185460,-39.219013,-140.997587,0.137731
0.020000,176.812068,252.675958,178.877869,129.344681,-42.038965,-140.997587,0.116733
0.020000,179.375593,252.947488,181.455791,128.447503,-44.858917,-140.997587,0.094015
0.020000,181.926348,253.157076,184.015205,127.493925,-47.678869,-140.997587,0.069654
0.020000,184.461953,253.301359,186.554984,126.483949,-50.498820,-140.997587,0.043746
0.020000,186.979740,253.377445,189.073999,125.417574,-53.318772,-140.997587,0.016409
0.020000,189.476772,253.382982,191.571123,124.294799,-56.138724,-140.997587,6.270967
0.020000,191.949884,253.316227,194.045227,123.115626,-58.958676,-140.997587,6.241211
0.020000,194.395732,253.176100,196.495184,121.880053,-61.778627,-140.997587,6.210507
0.020000,196.810863,252.962230,198.919865,120.588082,-64.598579,-140.997587,6.179052
0.020000,199.191771,252.674980,201.318143,119.239711,-67.418531,-140.997587,6.147053
0.020000,201.534992,252.315451,203.688890,117.834941,-70.238483,-140.997587,6.114725
0.020000,203.837164,251.885464,206.030977,116.373773,-73.058434,-140.997587,6.082284
0.020000,206.095108,251.387521,208.343277,114.856205,-75.878386,-140.997587,6.049939
0.020000,208.305888,250.824742,210.624661,113.282238,-78.698338,-140.997587,6.017889
0.020000,210.466857,250.200791,212.874002,111.651872,-81.518290,-140.997587,5.986316
0.020000,212.575706,249.519787,215.090172,109.965107,-84.338241,-140.997587,5.955384
0.020000,214.582952,248.810667,217.272043,108.221944,-87.158193,-140.997587,5.953625
0.020000,216.643351,248.211615,219.418486,106.422381,-89.978145,-140.997587,6.043570
0.020000,218.709446,247.786111,221.528374,104.566419,-92.798097,-140.997587,6.113762
0.020000,220.760709,247.494012,223.600579,102.654058,-95.618048,-140.997587,6.167373
0.020000,222.784828,247.301433,225.633972,100.685298,-98.438000,-140.997587,6.207360
0.020000,224.774552,247.180628,227.627426,98.660139,-101.257952,-140.997587,6.236127
