dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.802964,196.253553,0.000564,0.056399,2.819952,140.997587,6.281913
0.020000,4.803215,196.253553,0.000814,0.012514,-2.194243,-250.709720,6.281936
0.020000,4.803778,196.253552,0.001377,0.028156,0.782095,148.816895,6.281987
0.020000,4.804779,196.253551,0.002378,0.050052,1.094818,15.636154,6.282078
0.020000,4.806343,196.253549,0.003942,0.078200,1.407365,15.627324,6.282220
0.020000,4.808595,196.253547,0.006194,0.112592,1.719622,15.612845,6.282425
0.020000,4.811659,196.253545,0.009259,0.153221,2.031447,15.591277,6.282703
0.020000,4.815661,196.253544,0.013260,0.200075,2.342670,15.561151,6.283067
0.020000,4.854673,196.253551,0.052272,1.950602,87.526363,4259.184632,0.000342
0.020000,4.917321,196.253590,0.114920,3.132404,59.090113,-1421.812505,0.000910
0.020000,4.993122,196.253685,0.190721,3.790051,32.882330,-1310.389130,0.001597
0.020000,5.083326,196.253866,0.280925,4.510207,36.007841,156.275524,0.002415
0.020000,5.189191,196.254172,0.386791,5.293291,39.154158,157.315882,0.003374
0.020000,5.311959,196.254655,0.509560,6.138458,42.258352,155.209675,0.004485
0.020000,5.452882,196.255377,0.650485,7.046219,45.388081,156.486461,0.005760
0.020000,5.613207,196.256416,0.810813,8.016408,48.509434,156.067624,0.007210
0.020000,5.794177,196.257869,0.991789,9.048822,51.620695,155.563090,0.008845
0.020000,5.997051,196.259849,1.194673,10.144192,54.768511,157.390760,0.010677
0.020000,6.223053,196.262493,1.420690,11.300837,57.832232,153.186071,0.012715
0.020000,6.473441,196.265959,1.671103,12.520642,60.990257,157.901237,0.014971
0.020000,6.749442,196.270434,1.947140,13.801855,64.060654,153.519886,0.017454
0.020000,7.052289,196.276133,2.250041,15.145043,67.159386,154.936572,0.020175
0.020000,7.383222,196.283302,2.581051,16.550494,70.272548,155.658115,0.023144
0.020000,7.743452,196.292223,2.941392,18.017051,73.327877,152.766457,0.026370
0.020000,8.134210,196.303212,3.332304,19.545603,76.427574,154.984825,0.029862
0.020000,8.556699,196.316630,3.755005,21.135084,79.474048,152.323723,0.033630
0.020000,9.012121,196.332875,4.210717,22.785583,82.524964,152.545763,0.037682
0.020000,9.501682,196.352397,4.700668,24.497522,85.596940,153.598817,0.042025
0.020000,10.026550,196.375689,5.226052,26.269240,88.585940,149.450006,0.046668
0.020000,10.587901,196.403298,5.788082,28.101495,91.612719,151.338937,0.051617
0.020000,11.186888,196.435825,6.387951,29.993458,94.598151,149.271607,0.056878
0.020000,11.824648,196.473925,7.026848,31.944828,97.568504,148.517676,0.062457
