dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,644.063082,104.817425,0.000558,0.055824,2.791202,139.560116,3.141170
0.020000,644.063147,104.817425,0.000623,0.003232,-2.629614,-271.040792,3.141176
0.020000,644.063292,104.817424,0.000768,0.007271,0.201971,141.579239,3.141189
0.020000,644.063551,104.817424,0.001027,0.012926,0.282719,4.037365,3.141212
0.020000,644.063955,104.817424,0.001431,0.020194,0.363403,4.034203,3.141249
0.020000,644.064536,104.817424,0.002012,0.029073,0.443983,4.029025,3.141302
0.020000,644.065327,104.817424,0.002803,0.039561,0.524410,4.021327,3.141374
0.020000,644.066360,104.817424,0.003836,0.051654,0.604622,4.010603,3.141468
0.020000,644.067667,104.817424,0.005143,0.065345,0.684549,3.996349,3.141587
0.020000,644.015798,104.817420,0.057013,2.593486,126.407047,6286.124939,3.141733
0.020000,643.950200,104.817405,0.122610,3.279857,34.318562,-4604.424293,3.141910
0.020000,643.872132,104.817372,0.200678,3.903400,31.177169,-157.069655,3.142121
0.020000,643.780508,104.817312,0.292302,4.581199,33.889942,135.638655,3.142368
0.020000,643.674242,104.817214,0.398568,5.313305,36.605306,135.768201,3.142655
0.020000,643.552249,104.817065,0.520562,6.099670,39.318227,135.646069,3.142983
0.020000,643.413442,104.816846,0.659369,6.940373,42.035143,135.845781,3.143356
0.020000,643.256733,104.816537,0.816078,7.835430,44.752850,135.885369,3.143776
0.020000,643.081037,104.816112,0.991775,8.784858,47.471425,135.928774,3.144246
0.020000,642.885264,104.815541,1.187548,9.788677,50.190956,135.976525,3.144769
0.020000,642.668327,104.814789,1.404487,10.846908,52.911540,136.029216,3.145347
0.020000,642.429136,104.813815,1.643680,11.959686,55.638866,136.366287,3.145983
0.020000,642.166601,104.812571,1.906218,13.126896,58.360518,136.082601,3.146678
0.020000,641.879630,104.811003,2.193193,14.348718,61.091094,136.528778,3.147436
0.020000,641.567134,104.809049,2.505696,15.625154,63.821805,136.535567,3.148258
0.020000,641.228017,104.806638,2.844821,16.956256,66.555128,136.666160,3.149147
0.020000,640.861187,104.803691,3.211663,18.342097,69.292036,136.845415,3.150104
0.020000,640.465549,104.800120,3.607316,19.782682,72.029255,136.860916,3.151131
0.020000,640.040006,104.795827,4.032881,21.278225,74.777136,137.394046,3.152231
0.020000,639.583462,104.790702,4.489454,22.828651,77.521289,137.207680,3.153404
0.020000,639.094818,104.784624,4.978136,24.434120,80.273444,137.607748,3.154653
0.020000,638.572973,104.777462,5.500030,26.094702,83.029128,137.784193,3.155978
0.020000,638.016825,104.769071,6.056241,27.810555,85.792625,138.174859,3.157380
0.020000,637.425272,104.759292,6.647875,29.581667,88.555591,138.148290,3.158861
0.020000,636.797210,104.747955,7.276039,31.408234,91.328377,138.639279,3.160421
0.020000,636.131532,104.734872,7.941846,33.290350,94.105795,138.870914,3.162061
0.020000,635.427129,104.719845,8.646409,35.228124,96.888681,139.144284,3.163781
0.020000,634.683437,104.702671,9.390300,37.194548,98.321233,71.627627,3.165579
0.020000,633.900431,104.683151,10.173549,39.162473,98.396259,3.751310,3.167453
0.020000,633.078087,104.661077,10.996190,41.132007,98.476675,4.020794,3.169401
0.020000,632.216379,104.636237,11.858255,43.103270,98.563167,4.324565,3.171418
0.020000,631.315283,104.608412,12.759780,45.076274,98.650199,4.351616,3.173501
0.020000,630.374772,104.577378,13.700804,47.051170,98.744781,4.729116,3.175648
0.020000,629.394817,104.542907,14.681364,49.028022,98.842602,4.891046,3.177855
0.020000,628.375393,104.504767,15.701502,51.006896,98.943687,5.054239,3.180117
0.020000,627.316468,104.462721,16.761261,52.987940,99.052201,5.425708,3.182432
0.020000,626.218016,104.416533,17.860684,54.971166,99.161319,5.455910,3.184795
0.020000,625.080005,104.365962,18.999818,56.956699,99.276638,5.765949,3.187201
0.020000,623.902404,104.310768,20.178711,58.944645,99.397307,6.033459,3.189647
0.020000,622.685184,104.250712,21.397412,60.935040,99.519765,6.122867,3.192128
0.020000,621.428312,104.185553,22.655972,62.928016,99.648780,6.450745,3.194640
0.020000,620.131754,104.115055,23.954445,64.923641,99.781270,6.624520,3.197177
0.020000,618.795478,104.038982,25.292885,66.921993,99.917577,6.815366,3.199734
0.020000,617.419448,103.957104,26.671349,68.923181,100.059409,7.091566,3.202307
0.020000,616.003629,103.869195,28.089894,70.927266,100.204241,7.241598,3.204890
0.020000,614.547985,103.775033,29.548581,72.934344,100.353930,7.484460,3.207478
0.020000,613.052476,103.674407,31.047471,74.944505,100.508014,7.704223,3.210065
0.020000,611.517065,103.567109,32.586627,76.957818,100.665683,7.883415,3.212645
0.020000,609.941708,103.452944,34.166115,78.974379,100.828054,8.118589,3.215212
0.020000,608.326365,103.331726,35.786000,80.994264,100.994252,8.309903,3.217762
0.020000,606.670990,103.203279,37.446351,83.017555,101.164511,8.512917,3.220286
0.020000,604.975536,103.067442,39.147238,85.044333,101.338941,8.721510,3.222779
0.020000,603.239954,102.924066,40.888731,87.074680,101.517323,8.919103,3.225235
0.020000,601.464193,102.773019,42.670905,89.108674,101.699723,9.119979,3.227646
0.020000,599.648198,102.614184,44.493833,91.146394,101.886003,9.314033,3.230007
0.020000,597.791912,102.447462,46.357591,93.187922,102.076366,9.518122,3.232309
0.020000,595.895273,102.272774,48.262258,95.233329,102.270375,9.700439,3.234546
0.020000,593.958217,102.090062,50.207912,97.282697,102.468374,9.899954,3.236712
0.020000,591.981225,101.899342,52.194082,99.308503,101.290314,-58.902982,3.238797
0.020000,589.965325,101.700714,54.219744,101.283120,98.730842,-127.973602,3.240794
0.020000,587.911541,101.494312,56.283874,103.206466,96.167325,-128.175842,3.242693
0.020000,585.820897,101.280303,58.385443,105.078450,93.599195,-128.406517,3.244488
0.020000,583.694413,101.058887,60.523422,106.898978,91.026380,-128.640736,3.246170
0.020000,581.533109,100.830302,62.696781,108.667935,88.447865,-128.925729,3.247732
0.020000,579.337999,100.594816,64.904485,110.385228,85.864658,-129.160358,3.249165
0.020000,577.110098,100.352734,67.145500,112.050732,83.275185,-129.473643,3.250463
