dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,644.067735,115.817424,0.000558,0.055824,2.791202,139.560116,3.141170
0.020000,644.067735,115.817424,0.002791,0.167472,5.582405,139.560116,3.141176
0.020000,644.067735,115.817424,0.007815,0.334944,8.373607,139.560116,3.141189
0.020000,644.067735,115.817424,0.016747,0.558240,11.164809,139.560116,3.141212
0.020000,644.067735,115.817424,0.030703,0.837361,13.956012,139.560116,3.141249
0.020000,644.067735,115.817424,0.050800,1.172305,16.747214,139.560116,3.141302
0.020000,644.067735,115.817424,0.078154,1.563073,19.538416,139.560116,3.141374
0.020000,644.067735,115.817424,0.113881,2.009666,22.329619,139.560116,3.141468
0.020000,644.067735,115.817424,0.159099,2.512082,25.120821,139.560116,3.141587
0.020000,644.014253,115.817420,0.214923,3.070323,27.912023,139.560116,3.141733
0.020000,643.946706,115.817404,0.282470,3.684387,30.703226,139.560116,3.141910
0.020000,643.866319,115.817370,0.362856,4.354276,33.494428,139.560116,3.142121
0.020000,643.771977,115.817309,0.457199,5.079988,36.285630,139.560116,3.142368
0.020000,643.662561,115.817208,0.566614,5.861525,39.076833,139.560116,3.142655
0.020000,643.536957,115.817054,0.692218,6.698886,41.868035,139.560116,3.142983
0.020000,643.394048,115.816829,0.835128,7.592070,44.659237,139.560116,3.143356
0.020000,643.232717,115.816511,0.996459,8.541079,47.450440,139.560116,3.143776
0.020000,643.051847,115.816073,1.177329,9.545912,50.241642,139.560116,3.144246
0.020000,642.850323,115.815486,1.378854,10.606569,53.032844,139.560116,3.144769
0.020000,642.627029,115.814712,1.602150,11.723050,55.824046,139.560116,3.145347
0.020000,642.380847,115.813709,1.848334,12.895355,58.615249,139.560116,3.145983
0.020000,642.110662,115.812429,2.118523,14.123484,61.406451,139.560116,3.146678
0.020000,641.815357,115.810816,2.413832,15.407437,64.197653,139.560116,3.147436
0.020000,641.493817,115.808804,2.735378,16.747214,66.988856,139.560116,3.148258
0.020000,641.144925,115.806324,3.084279,18.142815,69.780058,139.560116,3.149147
0.020000,640.767566,115.803293,3.461649,19.594240,72.571260,139.560116,3.150104
0.020000,640.360626,115.799620,3.868606,21.101490,75.362463,139.560116,3.151131
0.020000,639.922988,115.795204,4.306267,22.664563,78.153665,139.560116,3.152231
0.020000,639.453537,115.789934,4.775747,24.283460,80.944867,139.560116,3.153404
0.020000,638.951159,115.783686,5.278164,25.958182,83.736070,139.560116,3.154653
0.020000,638.414741,115.776324,5.814633,27.688727,86.527272,139.560116,3.155978
0.020000,637.843168,115.767700,6.386271,29.475097,89.318474,139.560116,3.157380
0.020000,637.235327,115.757652,6.994195,31.317290,92.109677,139.560116,3.158861
0.020000,636.590106,115.746005,7.639521,33.215308,94.900879,139.560116,3.160421
0.020000,635.906394,115.732568,8.323365,35.169149,97.692081,139.560116,3.162061
0.020000,635.183079,115.717138,9.046845,37.178815,100.483284,139.560116,3.163781
0.020000,634.419610,115.699507,9.810518,39.188481,100.483284,0.000000,3.165579
0.020000,633.615993,115.679473,10.614384,41.198146,100.483284,-0.000000,3.167453
0.020000,632.772238,115.656824,11.458444,43.207812,100.483284,0.000000,3.169401
0.020000,631.888352,115.631345,12.342697,45.217478,100.483284,0.000000,3.171418
0.020000,630.964347,115.602812,13.267143,47.227143,100.483284,0.000000,3.173501
0.020000,630.000232,115.571000,14.231782,49.236809,100.483284,-0.000000,3.175648
0.020000,628.996020,115.535676,15.236615,51.246475,100.483284,0.000000,3.177855
0.020000,627.951725,115.496605,16.281641,53.256140,100.483284,-0.000000,3.180117
0.020000,626.867360,115.453549,17.366861,55.265806,100.483284,0.000000,3.182432
0.020000,625.742942,115.406269,18.492274,57.275472,100.483284,-0.000000,3.184795
0.020000,624.578485,115.354523,19.657880,59.285137,100.483284,0.000000,3.187201
0.020000,623.374008,115.298070,20.863679,61.294803,100.483284,-0.000000,3.189647
0.020000,622.129530,115.236669,22.109672,63.304469,100.483284,0.000000,3.192128
0.020000,620.845069,115.170080,23.395858,65.314134,100.483284,-0.000000,3.194640
0.020000,619.520646,115.098066,24.722237,67.323800,100.483284,0.000000,3.197177
0.020000,618.156283,115.020395,26.088810,69.333466,100.483284,0.000000,3.199734
0.020000,616.752001,114.936836,27.495576,71.343131,100.483284,-0.000000,3.202307
0.020000,615.307824,114.847166,28.942535,73.352797,100.483284,0.000000,3.204890
0.020000,613.823773,114.751167,30.429688,75.362463,100.483284,-0.000000,3.207478
0.020000,612.299873,114.648630,31.957034,77.372128,100.483284,0.000000,3.210065
0.020000,610.736148,114.539355,33.524573,79.381794,100.483284,0.000000,3.212645
0.020000,609.132621,114.423148,35.132305,81.391460,100.483284,-0.000000,3.215212
0.020000,607.489316,114.299832,36.780231,83.401125,100.483284,0.000000,3.217762
0.020000,605.806257,114.169237,38.468350,85.410791,100.483284,0.000000,3.220286
0.020000,604.083465,114.031210,40.196663,87.420457,100.483284,0.000000,3.222779
0.020000,602.320963,113.885611,41.965169,89.430122,100.483284,0.000000,3.225235
0.020000,600.518773,113.732315,43.773868,91.439788,100.483284,-0.000000,3.227646
