dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,644.072388,126.817423,0.000558,0.055824,2.791202,139.560116,3.141170
0.020000,644.072323,126.817423,0.000623,0.003232,-2.629614,-271.040792,3.141176
0.020000,644.072178,126.817423,0.000768,0.007271,0.201971,141.579239,3.141189
0.020000,644.071919,126.817423,0.001027,0.012926,0.282719,4.037365,3.141212
0.020000,644.071515,126.817423,0.001431,0.020194,0.363403,4.034203,3.141249
0.020000,644.070934,126.817423,0.002012,0.029073,0.443983,4.029025,3.141302
0.020000,644.070143,126.817423,0.002803,0.039561,0.524410,4.021327,3.141374
0.020000,644.069110,126.817423,0.003836,0.051654,0.604622,4.010603,3.141468
0.020000,644.067803,126.817424,0.005143,0.065345,0.684549,3.996349,3.141587
0.020000,644.012708,126.817420,0.060238,2.754743,134.469887,6689.266900,3.141733
0.020000,643.943211,126.817404,0.129735,3.474843,36.005024,-4923.243132,3.141910
0.020000,643.860506,126.817369,0.212440,4.135261,33.020915,-149.205459,3.142121
0.020000,643.763445,126.817305,0.309501,4.853052,35.889514,143.429967,3.142368
0.020000,643.650880,126.817202,0.422066,5.628237,38.759258,143.487192,3.142655
0.020000,643.521666,126.817044,0.551281,6.460728,41.624547,143.264433,3.142983
0.020000,643.374654,126.816812,0.698292,7.350566,44.491910,143.368145,3.143356
0.020000,643.208700,126.816484,0.864246,8.297719,47.357644,143.286695,3.143776
0.020000,643.022658,126.816034,1.050289,9.302149,50.221497,143.192672,3.144246
0.020000,642.815383,126.815430,1.257566,10.363813,53.083208,143.085535,3.144769
0.020000,642.585731,126.814634,1.487219,11.482663,55.942504,142.964798,3.145347
0.020000,642.332557,126.813603,1.740394,12.658763,58.805005,143.125088,3.145983
0.020000,642.054722,126.812287,2.018232,13.891906,61.657148,142.607150,3.146678
0.020000,641.751083,126.810628,2.321876,15.182185,64.513937,142.839447,3.147436
0.020000,641.420500,126.808560,2.652466,16.529497,67.365600,142.583149,3.148258
0.020000,641.061833,126.806010,3.011141,17.933782,70.214264,142.433191,3.149147
0.020000,640.673946,126.802894,3.399041,19.394991,73.060439,142.308757,3.150104
0.020000,640.255703,126.799119,3.817301,20.912993,75.900120,141.984017,3.151131
0.020000,639.805969,126.794582,4.267058,22.487867,78.743680,142.178032,3.152231
0.020000,639.323612,126.789167,4.749446,24.119373,81.575315,141.581722,3.153404
0.020000,638.807501,126.782748,5.265596,25.807509,84.406801,141.574293,3.154653
0.020000,638.256510,126.775186,5.816639,27.552164,87.232764,141.298152,3.155978
0.020000,637.669511,126.766329,6.403706,29.353306,90.057054,141.214519,3.157380
0.020000,637.045382,126.756012,7.027920,31.210709,92.870164,140.655489,3.158861
0.020000,636.383003,126.744055,7.690407,33.124355,95.682294,140.606489,3.160421
0.020000,635.681256,126.730264,8.392289,35.094099,98.487215,140.246068,3.162061
0.020000,634.939029,126.714430,9.134685,37.119800,101.285031,139.890826,3.163781
0.020000,634.155783,126.696343,9.918140,39.172747,102.647389,68.117889,3.165579
